player,salary,team,pos,opp,ceil,floor,fpts
"Sebastian Janikowski",4700,OAK,K,KCC,,,7.62
"Cairo Santos",4700,KCC,K,OAK,,,8.64
"Ryan Succop",4500,TEN,K,CLE,,,5.97
"Cody Parkey",4500,CLE,K,TEN,,,7.34
"Phil Dawson",4500,SFO,K,BUF,,,6.31
"Dan Carpenter",4700,BUF,K,SFO,,,7.46
"Matt Bryant",4600,ATL,K,SEA,,,7.59
"Steven Hauschka",4800,SEA,K,ATL,,,9.05
"Chandler Catanzaro",4600,ARI,K,NYJ,,,8.03
"Nick Folk",4500,NYJ,K,ARI,,,7.46
"Nick Novak",4500,HOU,K,IND,,,8.08
"Adam Vinatieri",5200,IND,K,HOU,,,10.16
"Dan Bailey",4800,DAL,K,GBP,,,7.86
"Mason Crosby",4600,GBP,K,DAL,,,8.11
"Greg Zuerlein",4500,LAR,K,DET,,,7.76
"Matt Prater",4700,DET,K,LAR,,,7.59
"Andrew Franks",4600,MIA,K,PIT,,,5.47
"Chris Boswell",4800,PIT,K,MIA,,,7.71
"Mike Nugent",4500,CIN,K,NEP,,,7.92
"Stephen Gostkowski",5000,NEP,K,CIN,,,10.34
"Brandon McManus",4800,DEN,K,SDC,,,8.81
"Josh Lambo",4500,SDC,K,DEN,,,7.29
"Caleb Sturgis",4900,PHI,K,WAS,,,8.64
"Dustin Hopkins",4900,WAS,K,PHI,,,7.79
"Wil Lutz",4500,NOS,K,CAR,,,7.83
"Graham Gano",5000,CAR,K,NOS,,,10.67
"Jason Myers",4600,JAC,K,CHI,,,8.19
"Connor Barth",4500,CHI,K,JAC,,,6.62
"Justin Tucker",4900,BAL,K,NYG,,,9.96
"Josh Brown",4700,NYG,K,BAL,,,8
