"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16569-45889","WR","Davante","Adams","10.225000381469727","4","5400","DAL@GB","GB","DAL","","","",""
"16569-54741","WR","Seth","Roberts","6.9","5","5400","KC@OAK","OAK","KC","","","",""
"16569-6664","TE","Jacob","Tamme","7.259999847412109","5","5300","ATL@SEA","ATL","SEA","","","",""
"16569-27050","WR","Tyler","Lockett","4.224999904632568","4","5300","ATL@SEA","SEA","ATL","","","",""
"16569-6668","K","Adam","Vinatieri","13.2","5","5200","IND@HOU","IND","HOU","","","",""
"16569-33578","RB","Jalen","Richard","7.9","5","5100","KC@OAK","OAK","KC","","","",""
"16569-27908","TE","C.J.","Fiedorowicz","4.520000076293945","5","5100","IND@HOU","HOU","IND","","","",""
"16569-29314","TE","Richard","Rodgers","3.799999952316284","4","5100","DAL@GB","GB","DAL","","","",""
"16569-11419","RB","C.J.","Spiller","8.699999809265137","1","5000","ATL@SEA","SEA","ATL","","","",""
"16569-30652","QB","Tanner","McEvoy","5.349999904632568","2","5000","ATL@SEA","SEA","ATL","","","",""
"16569-28163","QB","Connor","Cook","0","0","5000","KC@OAK","OAK","KC","NA","Coach's decision","",""
"16569-70464","QB","Josh","Woodrum","0","0","5000","IND@HOU","IND","HOU","","","",""
"16569-41732","QB","Christian","Hackenberg","0","0","5000","NYJ@ARI","NYJ","ARI","","","",""
"16569-14696","QB","Scott","Tolzien","-0.07000000029802322","2","5000","IND@HOU","IND","HOU","","","",""
"16569-26877","QB","Jake","Heaps","0","0","5000","ATL@SEA","SEA","ATL","","","",""
"16569-31798","QB","Bryce","Petty","0","0","5000","NYJ@ARI","NYJ","ARI","","","",""
"16569-30788","QB","Tyler","Bray","0","0","5000","KC@OAK","KC","OAK","NA","Coach's decision","",""
"16569-32366","QB","Jameill","Showers","0","0","5000","DAL@GB","DAL","GB","","","",""
"16569-29915","QB","Brett","Hundley","0","0","5000","DAL@GB","GB","DAL","","","",""
"16569-6687","QB","Mark","Sanchez","12.28000005086263","3","5000","DAL@GB","DAL","GB","","","",""
"16569-22113","RB","Alfred","Morris","5.1","5","5000","DAL@GB","DAL","GB","","","",""
"16569-26483","QB","Geno","Smith","21","1","5000","NYJ@ARI","NYJ","ARI","","","",""
"16569-25969","QB","Tom","Savage","0","0","5000","IND@HOU","HOU","IND","","","",""
"16569-24589","WR","Jaron","Brown","4.94000015258789","5","4900","NYJ@ARI","ARI","NYJ","","","",""
"16569-28095","RB","Thomas","Rawls","4.800000190734863","2","4900","ATL@SEA","SEA","ATL","NA","Lower leg","",""
"16569-33472","RB","C.J.","Prosise","1.600000023841858","1","4900","ATL@SEA","SEA","ATL","NA","Wrist","",""
"16569-12550","D","Seattle","Seahawks","8","4","4800","ATL@SEA","SEA","ATL","","","",""
"16569-16923","TE","Austin","Seferian-Jenkins","4.866666793823242","3","4800","NYJ@ARI","NYJ","ARI","Q","Ankle","",""
"16569-54753","WR","Taylor","Gabriel","4.533333460489909","3","4800","ATL@SEA","ATL","SEA","","","",""
"16569-39859","TE","Jack","Doyle","7.019999694824219","5","4800","IND@HOU","IND","HOU","","","",""
"16569-14952","K","Dan","Bailey","8.8","5","4800","DAL@GB","DAL","GB","","","",""
"16569-6724","K","Steven","Hauschka","8.25","4","4800","ATL@SEA","SEA","ATL","","","",""
"16569-25775","TE","Clive","Walford","6.25","4","4700","KC@OAK","OAK","KC","","","",""
"16569-33714","K","Cairo","Santos","8.25","4","4700","KC@OAK","KC","OAK","","","",""
"16569-7831","K","Sebastian","Janikowski","8","5","4700","KC@OAK","OAK","KC","","","",""
"16569-7761","TE","Jared","Cook","2.7666667302449546","3","4700","DAL@GB","GB","DAL","NA","Ankle","",""
"16569-38790","WR","Jalin","Marshall","1.6333333651224773","3","4700","NYJ@ARI","NYJ","ARI","","","",""
"16569-33137","WR","Justin","Hardy","4.349999904632568","4","4600","ATL@SEA","ATL","SEA","","","",""
"16569-24569","K","Chandler","Catanzaro","6.8","5","4600","NYJ@ARI","ARI","NYJ","","","",""
"16569-22292","RB","Lance","Dunbar","3.75","4","4600","DAL@GB","DAL","GB","NA","Knee","",""
"16569-22219","WR","Jermaine","Kearse","4.050000190734863","4","4600","ATL@SEA","SEA","ATL","","","",""
"16569-30403","WR","Chris","Conley","6.175000190734863","4","4600","KC@OAK","KC","OAK","","","",""
"16569-10647","K","Matt","Bryant","10.8","5","4600","ATL@SEA","ATL","SEA","","","",""
"16569-54687","RB","Charcandrick","West","4.899999936421712","3","4600","KC@OAK","KC","OAK","","","",""
"16569-6897","K","Mason","Crosby","8.5","4","4600","DAL@GB","GB","DAL","","","",""
"16569-39373","WR","Jaelen","Strong","3.5","4","4600","IND@HOU","HOU","IND","","","",""
"16569-12536","D","Kansas City","Chiefs","10.25","4","4600","KC@OAK","KC","OAK","","","",""
"16569-31073","RB","Knile","Davis","1.100000023841858","2","4500","KC@OAK","KC","OAK","NA","Coach's decision","",""
"16569-29655","RB","Soma","Vainuku","0","0","4500","IND@HOU","HOU","IND","","","",""
"16569-62631","RB","Gus","Johnson","0","0","4500","ATL@SEA","ATL","SEA","","","",""
"16569-6566","RB","Chris","Johnson","3.875","4","4500","NYJ@ARI","ARI","NYJ","IR","Groin","",""
"16569-33037","WR","Kenbrell","Thompkins","4.166666666666667","6","4500","NYJ@ARI","NYJ","ARI","","","",""
"16569-47861","TE","Mitchell","Henry","0","2","4500","DAL@GB","GB","DAL","","","",""
"16569-62600","WR","Joshua","Stangby","0","0","4500","IND@HOU","IND","HOU","","","",""
"16569-26251","WR","Robby","Anderson","2.7000001271565757","3","4500","NYJ@ARI","NYJ","ARI","","","",""
"16569-39615","TE","Brandon","Williams","0","6","4500","ATL@SEA","SEA","ATL","","","",""
"16569-46088","RB","Jhurell","Pressley","0","0","4500","DAL@GB","GB","DAL","","","",""
"16569-32000","TE","Luke","Willson","1.649999976158142","4","4500","ATL@SEA","SEA","ATL","","","",""
"16569-62623","RB","John","Crockett","1.0499999523162842","2","4500","DAL@GB","GB","DAL","IR","Shoulder","",""
"16569-27692","RB","Josh","Ferguson","4.6","5","4500","IND@HOU","IND","HOU","","","",""
"16569-43504","RB","Don","Jackson","0","0","4500","DAL@GB","GB","DAL","","","",""
"16569-11431","TE","Jermaine","Gresham","1.4","5","4500","NYJ@ARI","ARI","NYJ","","","",""
"16569-38523","TE","Geoff","Swaim","1.625","4","4500","DAL@GB","DAL","GB","","","",""
"16569-34154","WR","J.J.","Nelson","1.5","3","4500","NYJ@ARI","ARI","NYJ","","","",""
"16569-14761","WR","Andre","Holmes","2.674999952316284","4","4500","KC@OAK","OAK","KC","","","",""
"16569-40126","TE","Austin","Hooper","6.099999904632568","4","4500","ATL@SEA","ATL","SEA","","","",""
"16569-39153","TE","Ifeanyi","Momah","0","0","4500","NYJ@ARI","ARI","NYJ","","","",""
"16569-30684","RB","Brandon","Wilds","0","0","4500","NYJ@ARI","NYJ","ARI","","","",""
"16569-34073","TE","Ryan","Griffin","4.320000076293946","5","4500","IND@HOU","HOU","IND","","","",""
"16569-34051","WR","Deshon","Foxx","0","0","4500","ATL@SEA","SEA","ATL","","","",""
"16569-43961","RB","Tyler","Ervin","-0.13999999761581422","5","4500","IND@HOU","HOU","IND","","","",""
