player,salary,team,pos,opp,ceil,floor,fpts
"Travis Kelce",6400,KCC,TE,OAK,,,11.86
"Anthony Fasano",4500,TEN,TE,CLE,,,1.22
"Clive Walford",4700,OAK,TE,KCC,,,6.44
"Jacob Tamme",5300,ATL,TE,SEA,,,6.24
"Austin Hooper",4500,ATL,TE,SEA,,,2.41
"Delanie Walker",6700,TEN,TE,CLE,,,12.3
"Connor Hamlett",4500,CLE,TE,TEN,,,1.46
"Vance McDonald",4600,SFO,TE,BUF,,,5.56
"Cole Wick",4500,DET,TE,LAR,,,4.01
"Garrett Celek",4700,SFO,TE,BUF,,,3.32
"Charles Clay",5300,BUF,TE,SFO,,,7.98
"Gary Barnidge",5300,CLE,TE,TEN,,,8.77
"Jimmy Graham",6900,SEA,TE,ATL,,,13.28
"Luke Willson",4500,SEA,TE,ATL,,,1.66
"Kellen Davis",4500,NYJ,TE,ARI,,,1.15
"Ryan Griffin",4500,HOU,TE,IND,,,4.53
"Austin Seferian-Jenkins",4800,NYJ,TE,ARI,,,5.26
"Darren Fells",4500,ARI,TE,NYJ,,,3.62
"Jermaine Gresham",4500,ARI,TE,NYJ,,,1.68
"C.J. Fiedorowicz",5100,HOU,TE,IND,,,5.9
"Jack Doyle",4800,IND,TE,HOU,,,4.66
"Jason Witten",5600,DAL,TE,GBP,,,7.94
"Geoff Swaim",4500,DAL,TE,GBP,,,1.79
"Richard Rodgers",5100,GBP,TE,DAL,,,7.08
"Dwayne Allen",5800,IND,TE,HOU,,,7.5
"Tyler Higbee",4500,LAR,TE,DET,,,1.16
"Lance Kendricks",4500,LAR,TE,DET,,,7.27
"Jesse James",5400,PIT,TE,MIA,,,8.6
"Tyler Kroft",4500,CIN,TE,NEP,,,1.53
"Dion Sims",4500,MIA,TE,PIT,,,5.31
"Zach Ertz",5400,PHI,TE,WAS,,,9.18
"Trey Burton",4500,PHI,TE,WAS,,,2.77
"Martellus Bennett",6600,NEP,TE,CIN,,,8.16
"Rob Gronkowski",8400,NEP,TE,CIN,,,14.18
"Virgil Green",4600,DEN,TE,SDC,,,7.18
"John Phillips",4600,DEN,TE,SDC,,,2.15
"Antonio Gates",5600,SDC,TE,DEN,,,7.92
"Hunter Henry",5400,SDC,TE,DEN,,,4.76
"C.J. Uzomah",4900,CIN,TE,NEP,,,7.67
"Vernon Davis",4500,WAS,TE,PHI,,,6.51
"Niles Paul",4500,WAS,TE,PHI,,,3.8
"Zach Miller",5800,CHI,TE,JAC,,,9.22
"Marcedes Lewis",4500,JAC,TE,CHI,,,3.2
"Logan Paulsen",4500,CHI,TE,JAC,,,1.04
"Greg Olsen",8100,CAR,TE,NOS,,,17.13
"Coby Fleener",5600,NOS,TE,CAR,,,10.18
"Julius Thomas",5700,JAC,TE,CHI,,,9.87
"Larry Donnell",5000,NYG,TE,BAL,,,5.91
"Dennis Pitta",5400,BAL,TE,NYG,,,10.98
"Crockett Gillmore",4900,BAL,TE,NYG,,,2.28
"Will Tye",4900,NYG,TE,BAL,,,5.92
"Jerell Adams",4500,NYG,TE,BAL,,,3.14
