playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2541161","null","Latavius Murray","RB","OAK","RB","OAK","32.2867","163.73","null","38.9","38","16","null","null","3.6","49.4","-11.4","15.3","163.73","163.73","5.175","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","28.8267","160.27","null","52","39","17","null","null","0.715","35.2","3.8","23.6","160.27","160.27","4.3269","null",
"2543488","null","Jarvis Landry","WR","MIA","WR","MIA","28.6433","147.07","null","47","40","19","null","null","0.76","44","-4","17.4","147.07","147.07","4.2331","null",
"2552379","null","Jeremy Langford","RB","CHI","RB","CHI","28.5467","159.99","null","59.8","41","18","null","null","2.65","62","-21","9.9","159.99","159.99","3.1954","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","28.5433","146.97","null","33.1","42","20","null","null","1.555","36.7","5.3","24.7","146.97","146.97","3.5782","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","27.6767","159.12","null","61.3","43","19","null","null","4.445","75.4","-32.4","5.6","159.12","159.12","2.546","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","27.5993","299.746","null","47.5","44","4","null","null","5.843","43.1","0.9","16.2","299.746","299.746","5.253","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","27.2233","145.65","null","48.7","45","21","null","null","1.515","41.6","3.4","19.8","145.65","145.65","6.388","null",
"2540160","null","Jordan Reed","TE","WAS","TE","WAS","27.1533","144.65","null","42","46","2","null","null","16.67","35.1","10.9","25.7","144.65","144.65","7.0642","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","26.7533","145.18","null","37.8","47","22","null","null","2.095","48.6","-1.6","15.8","145.18","145.18","4.5822","null",
"2543614","null","Donte Moncrief","WR","IND","WR","IND","24.6633","143.09","null","51.6","48","23","null","null","1.87","62","-14","8.8","143.09","143.09","3.5755","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","24.6533","143.08","null","50.6","49","24","null","null","3.985","45.7","3.3","16","143.08","143.08","3.7295","null",
"2553733","null","Thomas Rawls","RB","SEA","RB","SEA","24.1167","155.56","null","42.7","50","20","null","null","2.635","39.6","10.4","28.1","155.56","155.56","4.3949","null",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","22.3467","153.79","null","48","51","21","null","null","2.28","49.3","1.7","15.7","153.79","153.79","2.8134","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","22.2713","294.418","null","54.8","52","5","null","null","5.623","48.8","3.2","14","294.418","294.418","2.4933","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","21.2413","293.388","null","110.5","53","6","null","null","10.887","104.2","-51.2","3.2","293.388","293.388","3.8048","null",
"497326","null","Golden Tate","WR","DET","WR","DET","20.9333","139.36","null","52.7","54","25","null","null","1.115","57.5","-3.5","11.3","139.36","139.36","3.5661","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","20.6167","152.06","null","43.4","55","22","null","null","3.465","44.3","10.7","20","152.06","152.06","3.7562","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","20.4033","138.83","null","62.3","56","26","null","null","1.23","62.6","-6.6","8.2","138.83","138.83","3.3483","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","19.5167","150.96","null","56.2","57","23","null","null","5.04","65.7","-8.7","9.6","150.96","150.96","6.0431","null",
"2543500","null","Jordan Matthews","WR","PHI","WR","PHI","19.2333","137.66","null","64","58","27","null","null","0.35","83.9","-25.9","4.9","137.66","137.66","3.661","null",
"2532884","null","Marvin Jones","WR","DET","WR","DET","19.1133","137.54","null","73.6","59","28","null","null","0.58","85.8","-26.8","4","137.54","137.54","4.9928","null",
"2543847","null","John Brown","WR","ARI","WR","ARI","18.6533","137.08","null","68.1","60","29","null","null","2.2","74.1","-14.1","5.4","137.08","137.08","3.3475","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","18.4133","136.84","null","55.4","61","30","null","null","5.655","68.6","-7.6","6.9","136.84","136.84","5.0217","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","17.1433","134.64","null","46.7","62","3","null","null","13.655","42.1","19.9","17.9","134.64","134.64","3.0796","null",
"2552635","null","Matt Jones","RB","WAS","RB","WAS","14.7867","146.23","null","69.3","63","24","null","null","1.015","77.6","-14.6","6.5","146.23","146.23","4.6896","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","14.4933","132.92","null","69.7","64","31","null","null","3.59","63.8","0.2","8.6","132.92","132.92","5.0675","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","14.1667","145.61","null","78.8","65","25","null","null","1.57","83.8","-18.8","4.1","145.61","145.61","4.0759","null",
"2552374","null","Ameer Abdullah","RB","DET","RB","DET","13.3767","144.82","null","79.8","66","26","null","null","4.105","94.1","-28.1","3.5","144.82","144.82","3.5654","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","12.0553","284.202","null","115.4","67","7","null","null","3.471","116","-49","3","284.202","284.202","3.4866","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","11.8167","143.26","null","64.5","68","27","null","null","5.825","71.4","-3.4","7.2","143.26","143.26","7.9461","null",
"2543471","null","Kelvin Benjamin","WR","CAR","WR","CAR","11.0233","129.45","null","55.6","69","32","null","null","2.45","54","15","15.5","129.45","129.45","5.5408","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","10.7833","129.21","null","78.2","70","33","null","null","5.095","80.1","-10.1","4.5","129.21","129.21","4.9977","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","8.6533","280.8","null","67.7","71","8","null","null","2.859","49.8","21.2","12.5","280.8","280.8","4.3583","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","8.5153","280.662","null","80.6","72","9","null","null","7.142","82.2","-10.2","7.2","280.662","280.662","2.8796","null",
"2540156","null","Giovani Bernard","RB","CIN","RB","CIN","6.7267","138.17","null","65.5","73","28","null","null","3.345","86.9","-13.9","3.9","138.17","138.17","4.2889","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","6.3633","124.79","null","82.3","74","34","null","null","2.465","88.7","-14.7","3.5","124.79","124.79","3.6654","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","5.2567","136.7","null","78.7","75","29","null","null","7.885","79.1","-4.1","4.6","136.7","136.7","3.5547","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","5.0133","123.44","null","109.2","76","35","null","null","3.105","110.4","-34.4","1.8","123.44","123.44","3.6621","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","3.8233","121.32","null","68.8","77","4","null","null","1.915","58.4","18.6","8.4","121.32","121.32","3.2189","null",
"2532838","null","Coby Fleener","TE","NO","TE","NO","3.1533","120.65","null","77.6","78","5","null","null","2.87","72.8","5.2","5.3","120.65","120.65","3.2609","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","3.0733","275.22","null","109.2","79","10","null","null","4.61","112.3","-33.3","2.7","275.22","275.22","3.7029","null",
"2552430","null","Tyler Lockett","WR","SEA","WR","SEA","2.7833","121.21","null","76.7","80","36","null","null","4.175","89.9","-9.9","3.4","121.21","121.21","3.472","null",
"79555","null","Arian Foster","RB","MIA","RB","MIA","1.5067","132.95","null","75.9","81","30","null","null","8.45","69.6","11.4","8.2","132.95","132.95","5.4387","null",
"2553432","null","Kevin White","WR","CHI","WR","CHI","1.0333","119.46","null","96","82","37","null","null","4.855","101.5","-19.5","3.1","119.46","119.46","4.2312","null",
"2540258","null","Travis Kelce","TE","KC","TE","KC","0.6633","118.16","null","63.4","83","6","null","null","0.995","61.6","21.4","7","118.16","118.16","3.202","null",
"2540158","null","Zach Ertz","TE","PHI","TE","PHI","-0.0967","117.4","null","95.7","84","7","null","null","5.71","95.4","-11.4","2.4","117.4","117.4","5.1105","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","-0.3267","271.82","null","88.4","85","11","null","null","2.492","94","-9","6","271.82","271.82","2.7616","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","-0.5667","116.93","null","92.1","86","8","null","null","11.065","85.2","0.8","3.3","116.93","116.93","3.0317","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","-2.7467","269.4","null","70.6","87","12","null","null","0.77","66.9","20.1","9.1","269.4","269.4","3.118","null",
"2543477","null","Blake Bortles","QB","JAC","QB","JAC","-2.8907","269.256","null","87.2","88","13","null","null","3.19","88.5","-0.5","7","269.256","269.256","4.1473","null",
"2552409","null","DeVante Parker","WR","MIA","WR","MIA","-3.8167","114.61","null","83.8","89","38","null","null","0.305","102.3","-13.3","4.8","114.61","114.61","6.8409","null",
"2555295","null","Sterling Shepard","WR","NYG","WR","NYG","-3.8267","114.6","null","98.5","90","39","null","null","0.895","105","-15","3","114.6","114.6","4.3568","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","-4.1427","268.004","null","121.6","91","14","null","null","4.066","115.1","-24.1","3.4","268.004","268.004","4.845","null",
"2556370","null","Michael Thomas","WR","NO","WR","NO","-4.4167","114.01","null","133","92","40","null","null","2.37","130.5","-38.5","1.6","114.01","114.01","5.1129","null",
"2550256","null","Willie Snead","WR","NO","WR","NO","-5.0267","113.4","null","104.3","93","41","null","null","3.66","115.1","-22.1","1.6","113.4","113.4","3.4823","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","-6.7633","124.68","null","100.8","94","31","null","null","1.115","109.8","-15.8","2.3","124.68","124.68","4.107","null",
"2556075","null","Derrick Henry","RB","TEN","RB","TEN","-7.1233","124.32","null","104.8","95","32","null","null","1.59","90.1","4.9","4.2","124.32","124.32","3.7949","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","-8.0187","264.128","null","139.4","96","15","null","null","1.382","128","-32","2.7","264.128","264.128","3.6948","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","-8.3987","263.748","null","167.9","97","16","null","null","2.083","123.7","-26.7","2.7","263.748","263.748","3.031","null",
"2539336","null","Tavon Austin","WR","LA","WR","LA","-8.5467","109.88","null","113.7","98","42","null","null","0.92","110.7","-12.7","1.6","109.88","109.88","4.1587","null",
"2552461","null","Duke Johnson","RB","CLE","RB","CLE","-8.6333","122.81","null","74.8","99","33","null","null","1.33","84.4","14.6","4.6","122.81","122.81","7.2983","null",
"2552471","null","T.J. Yeldon","RB","JAC","RB","JAC","-8.7933","122.65","null","91.3","100","34","null","null","4.14","91.2","8.8","3.4","122.65","122.65","8.0756","null",
"2506400","null","Vincent Jackson","WR","TB","WR","TB","-8.8267","109.6","null","112.7","101","43","null","null","1.815","117","-16","1.5","109.6","109.6","3.6826","null",
"2533040","null","Mohamed Sanu","WR","ATL","WR","ATL","-10.1067","108.32","null","135.8","102","44","null","null","1.26","138.2","-36.2","1.5","108.32","108.32","3.582","null",
"2543499","null","Derek Carr","QB","OAK","QB","OAK","-10.4027","261.744","null","112","103","17","null","null","1.095","106.3","-3.3","3.2","261.744","261.744","5.0978","null",
"2552033","null","Jameis Winston","QB","TB","QB","TB","-10.5607","261.586","null","116.2","104","18","null","null","5.887","118.8","-14.8","3.8","261.586","261.586","4.4124","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","-11.0467","106.45","null","135.4","105","9","null","null","1.37","111.9","-6.9","2.6","106.45","106.45","3.1943","null",
"2507999","null","Chris Ivory","RB","JAC","RB","JAC","-11.1333","120.31","null","83.4","106","35","null","null","4.1","94.9","11.1","2.9","120.31","120.31","4.4455","null",
"2552458","null","Devin Funchess","WR","CAR","WR","CAR","-11.1767","107.25","null","120.5","107","45","null","null","0.5","121.6","-14.6","1.8","107.25","107.25","5.3431","null",
"2550353","null","Allen Hurns","WR","JAC","WR","JAC","-11.5567","106.87","null","74.4","108","46","null","null","1.41","89","19","4.3","106.87","106.87","4.0546","null",
"2555333","null","Corey Coleman","WR","CLE","WR","CLE","-11.7967","106.63","null","104.5","109","47","null","null","2.505","129.1","-20.1","1.6","106.63","106.63","5.4813","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","-12.2167","105.28","null","99.8","110","10","null","null","3.85","100.8","9.2","2.1","105.28","105.28","3.1786","null",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","-12.4347","259.712","null","137.8","111","19","null","null","8.678","128.3","-17.3","3.2","259.712","259.712","3.8601","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","-12.6167","104.88","null","96.3","112","11","null","null","7.08","111.9","0.1","1.9","104.88","104.88","5.7626","null",
"2555346","null","Will Fuller","WR","HOU","WR","HOU","-14.1367","104.29","null","172.1","113","48","null","null","0.85","136.5","-23.5","1.9","104.29","104.29","3.8659","null",
"2537931","null","Josh Gordon","WR","CLE","WR","CLE","-14.4667","103.96","null","90.5","114","49","null","null","1.145","93.6","20.4","5.2","103.96","103.96","3.5033","null",
"2550189","null","Isaiah Crowell","RB","CLE","RB","CLE","-14.7333","116.71","null","99.4","115","36","null","null","1.915","126.3","-11.3","1.3","116.71","116.71","3.8756","null",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","-15.5067","102.92","null","114.5","116","50","null","null","1.38","128.4","-12.4","1.4","102.92","102.92","3.805","null",
