playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","29.7667","149.9","null","45.4","38","20","null","null","2.525","61.48","-23.48","12.3","149.9","149.9","5.237","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","28.9833","297.88","null","35.4","39","2","null","null","5.46","16.96","22.04","27.5","297.88","297.88","3.1323","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","28.4333","160.7","null","52","40","16","null","null","7.7","51.06","-11.06","23.6","160.7","160.7","4.4319","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","27.7667","147.9","null","33.1","41","21","null","null","1.465","44.4","-3.4","24.7","147.9","147.9","3.644","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","26.7167","146.85","null","48.7","42","22","null","null","1.89","46.75","-4.75","19.8","146.85","146.85","6.554","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","26.2433","295.14","null","44.4","43","3","null","null","5.945","26.98","16.02","18.7","295.14","295.14","3.425","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","25.8867","146.02","null","41.5","44","23","null","null","2.42","53.88","-9.88","14.2","146.02","146.02","3.9147","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","24.6333","135","null","46.7","45","3","null","null","12.55","41.73","3.27","17.9","135","135","3.1335","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","23.7667","143.9","null","62.3","46","24","null","null","0.63","67.11","-21.11","8.2","143.9","143.9","3.4045","null",
"2543614","null","Donte Moncrief","WR","IND","WR","IND","23.1667","143.3","null","51.6","47","25","null","null","1.98","70.43","-23.43","8.8","143.3","143.3","3.6387","null",
"2543847","null","John Brown","WR","ARI","WR","ARI","23.1067","143.24","null","68.1","48","26","null","null","5.99","91.21","-43.21","5.4","143.24","143.24","3.3333","null",
"2541161","null","Latavius Murray","RB","OAK","RB","OAK","21.1333","153.4","null","38.9","49","17","null","null","1.05","32.45","16.55","15.3","153.4","153.4","5.296","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","20.8033","289.7","null","47.5","50","4","null","null","2.305","35.57","14.43","16.2","289.7","289.7","5.3124","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","20.3333","152.6","null","56.2","51","18","null","null","2.8","66.77","-15.77","9.6","152.6","152.6","6.1474","null",
"2553733","null","Thomas Rawls","RB","SEA","RB","SEA","19.8333","152.1","null","42.7","52","19","null","null","5.8","42.22","9.78","28.1","152.1","152.1","4.5021","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","19.7933","288.69","null","54.8","53","5","null","null","7.245","41.15","11.85","14","288.69","288.69","2.5024","null",
