playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2553733","null","Thomas Rawls","RB","SEA","RB","SEA","32.0633","159.54","null","42.7","38","15","null","null","1.88","42.22","-4.22","28.1","159.54","159.54","4.2112","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","30.9133","148.19","null","41.5","39","19","null","null","3.785","53.88","-14.88","14.2","148.19","148.19","3.6206","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","30.3533","157.83","null","43.4","40","16","null","null","2.99","43.31","-3.31","20","157.83","157.83","3.6111","null",
"2543743","null","Carlos Hyde","RB","SF","RB","SF","30.0133","157.49","null","36.9","41","17","null","null","5.925","41.32","-0.32","22.4","157.49","157.49","5.8501","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","28.9533","146.23","null","45.4","42","20","null","null","4.2","61.48","-19.48","12.3","146.23","146.23","4.8613","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","27.5687","289.748","null","54.8","43","5","null","null","13.679","41.15","1.85","14","289.748","289.748","2.3844","null",
"2543488","null","Jarvis Landry","WR","MIA","WR","MIA","25.3033","142.58","null","47","44","21","null","null","1.135","50.6","-6.6","17.4","142.58","142.58","4.0035","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","24.7133","152.19","null","52","45","18","null","null","2.96","51.06","-6.06","23.6","152.19","152.19","4.1481","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","24.4367","135.09","null","46.7","46","2","null","null","9.865","41.73","4.27","17.9","135.09","135.09","3.0137","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","24.2033","141.48","null","50.6","47","22","null","null","1.165","42.49","4.51","16","141.48","141.48","3.5142","null",
"497326","null","Golden Tate","WR","DET","WR","DET","24.1333","141.41","null","52.7","48","23","null","null","2.49","63.95","-15.95","11.3","141.41","141.41","3.3548","null",
"2495207","null","DeMarco Murray","RB","TEN","RB","TEN","23.4633","150.94","null","48.8","49","19","null","null","4.245","47.89","1.11","13.9","150.94","150.94","4.848","null",
"2543471","null","Kelvin Benjamin","WR","CAR","WR","CAR","21.9433","139.22","null","55.6","50","24","null","null","0.725","46.28","3.72","15.5","139.22","139.22","5.2744","null",
"2540160","null","Jordan Reed","TE","WAS","TE","WAS","21.6367","132.29","null","42","51","3","null","null","16.51","38.32","12.68","25.7","132.29","132.29","7.4787","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","21.3433","138.62","null","48.7","52","25","null","null","0.31","46.75","5.25","19.8","138.62","138.62","6.0983","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","21.0933","138.37","null","62.3","53","26","null","null","2.535","67.11","-14.11","8.2","138.37","138.37","3.1435","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","20.9733","138.25","null","55.4","54","27","null","null","5.435","68.4","-14.4","6.9","138.25","138.25","4.7701","null",
"2552379","null","Jeremy Langford","RB","CHI","RB","CHI","20.0433","147.52","null","59.8","55","20","null","null","3.185","51.11","3.89","9.9","147.52","147.52","3.0883","null",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","18.3933","145.87","null","48","56","21","null","null","3.95","54.67","1.33","15.7","145.87","145.87","2.7293","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","16.4187","278.598","null","67.7","57","6","null","null","7.94","46.63","10.37","12.5","278.598","278.598","4.214","null",
"2543614","null","Donte Moncrief","WR","IND","WR","IND","16.1433","133.42","null","51.6","58","28","null","null","1.275","70.43","-12.43","8.8","133.42","133.42","3.3641","null",
"2552635","null","Matt Jones","RB","WAS","RB","WAS","15.3233","142.8","null","69.3","59","22","null","null","2.93","64.48","-5.48","6.5","142.8","142.8","4.4937","null",
"2543500","null","Jordan Matthews","WR","PHI","WR","PHI","14.9333","132.21","null","64","60","29","null","null","1.715","81.46","-21.46","4.9","132.21","132.21","3.4472","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","14.8033","132.08","null","78.2","61","30","null","null","3.375","98.08","-37.08","4.5","132.08","132.08","4.7465","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","13.5633","141.04","null","56.2","62","23","null","null","3.355","66.77","-4.77","9.6","141.04","141.04","5.7597","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","11.6333","128.91","null","69.7","63","31","null","null","3.64","68.32","-5.32","8.6","128.91","128.91","4.8145","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","11.3607","273.54","null","70.6","64","7","null","null","7.349","54.2","9.8","9.1","273.54","273.54","2.9986","null",
