player,salary,team,pos,opp,ceil,floor,fpts
"Jameis Winston",7500,TBB,QB,SFO,23.5476,14.4324,18.99
"Colin Kaepernick",6500,SFO,QB,TBB,22.8738,11.2662,17.07
"Andy Dalton",8100,CIN,QB,CLE,24.6003,13.5397,19.07
"Cody Kessler",6600,CLE,QB,CIN,17.7552,8.1648,12.96
"Tyrod Taylor",7700,BUF,QB,MIA,22.1722,15.4078,18.79
"Ryan Tannehill",7200,MIA,QB,BUF,19.6625,11.7975,15.73
"Philip Rivers",7800,SDC,QB,ATL,21.2779,16.3821,18.83
"Matt Ryan",8700,ATL,QB,SDC,24.9168,18.0432,21.48
"Brock Osweiler",6700,HOU,QB,DEN,16.9548,6.9252,11.94
"Trevor Siemian",7000,DEN,QB,HOU,22.4218,9.1582,15.79
"Carson Palmer",7600,ARI,QB,SEA,24.1826,9.8774,17.03
"Russell Wilson",8000,SEA,QB,ARI,26.5398,10.8402,18.69
"Tom Brady",9100,NEP,QB,PIT,28.2366,16.5834,22.41
"Landry Jones",6200,PIT,QB,NEP,16.3212,11.8188,14.07
"Marcus Mariota",7900,TEN,QB,IND,25.024,11.776,18.4
"Andrew Luck",8200,IND,QB,TEN,25.1808,13.8592,19.52
"Sam Bradford",7300,MIN,QB,PHI,20.2912,9.5488,14.92
"Carson Wentz",7100,PHI,QB,MIN,16.5884,12.7716,14.68
"Case Keenum",6700,LAR,QB,NYG,18.4164,6.3036,12.36
"Eli Manning",7700,NYG,QB,LAR,20.0868,15.1532,17.62
"Brian Hoyer",6700,CHI,QB,GBP,20.6655,15.2745,17.97
"Aaron Rodgers",8600,GBP,QB,CHI,25.259,12.441,18.85
"Drew Brees",8500,NOS,QB,KCC,24.5363,12.9237,18.73
"Alex Smith",7200,KCC,QB,NOS,23.0502,14.4298,18.74
"Kirk Cousins",7300,WAS,QB,DET,21.3749,17.8451,19.61
"Matthew Stafford",7900,DET,QB,WAS,23.352,15.568,19.46
"Geno Smith",5000,NYJ,QB,BAL,,,13.59
"Joe Flacco",7600,BAL,QB,NYJ,19.8936,16.9464,18.42
"Derek Carr",8300,OAK,QB,JAC,23.0958,13.5642,18.33
"Blake Bortles",7400,JAC,QB,OAK,22.9712,18.0488,20.51
