player,salary,team,pos,opp,ceil,floor,fpts
"Jeremy Hill",6800,CIN,RB,CLE,18.1337,3.3263,10.73
"Duke Johnson",5300,CLE,RB,CIN,11.9217,4.2983,8.11
"Isaiah Crowell",6400,CLE,RB,CIN,16.5688,5.6712,11.12
"Giovani Bernard",6300,CIN,RB,CLE,13.4352,5.2248,9.33
"Jacquizz Rodgers",5600,TBB,RB,SFO,26.08,0,13.04
"Mike Davis",4500,SFO,RB,TBB,,,4.95
"Shaun Draughn",4500,SFO,RB,TBB,9.916,0.804,5.36
"Arian Foster",5600,MIA,RB,BUF,13.1775,1.8825,7.53
"Jay Ajayi",6400,MIA,RB,BUF,16.3226,2.0174,9.17
"Frank Gore",6400,IND,RB,TEN,15.8202,6.6198,11.22
"Justin Forsett",5200,DET,RB,WAS,6.0698,0.7502,3.41
"Josh Ferguson",4500,IND,RB,TEN,6.557,1.343,3.95
"DeMarco Murray",8700,TEN,RB,IND,26.0568,13.4232,19.74
"Mike Gillislee",5300,BUF,RB,MIA,24.8304,4.7296,14.78
"Derrick Henry",5200,TEN,RB,IND,6.9595,2.0205,4.49
"Melvin Gordon",8000,SDC,RB,ATL,21.744,8.456,15.1
"Dexter McCluster",4500,SDC,RB,ATL,3.9835,1.1565,2.57
"Alex Collins",4500,SEA,RB,ARI,5.6784,0.5616,3.12
"Andre Ellington",4500,ARI,RB,SEA,4.06,0,2.03
"David Johnson",8500,ARI,RB,SEA,24.7434,11.1166,17.93
"Lamar Miller",7700,HOU,RB,DEN,19.716,5.724,12.72
"Alfred Blue",4500,HOU,RB,DEN,3.54,0,1.77
"Devontae Booker",5600,DEN,RB,HOU,13.2048,2.5152,7.86
"C.J. Anderson",7200,DEN,RB,HOU,19.8605,5.4395,12.65
"C.J. Spiller",4900,SEA,RB,ARI,7.106,0.374,3.74
"Christine Michael",7600,SEA,RB,ARI,17.6988,9.7412,13.72
"Tevin Coleman",6200,ATL,RB,SDC,14.2545,7.8455,11.05
"Devonta Freeman",7500,ATL,RB,SDC,18.3876,9.4724,13.93
"LeGarrette Blount",7100,NEP,RB,PIT,16.0876,5.6524,10.87
"James White",6100,NEP,RB,PIT,10.8392,5.1008,7.97
"DeAngelo Williams",5500,PIT,RB,NEP,5.7525,0.7475,3.25
"Le'Veon Bell",8600,PIT,RB,NEP,25.159,11.041,18.1
"Zach Zenner",5400,DET,RB,WAS,4.5,0,2.25
"Dwayne Washington",5000,DET,RB,WAS,10.5624,2.4776,6.52
"Matt Asiata",5400,MIN,RB,PHI,9.2004,2.0196,5.61
"Jerick McKinnon",6500,MIN,RB,PHI,18.6813,5.7387,12.21
"Benny Cunningham",4500,LAR,RB,NYG,3.675,1.225,2.45
"Ryan Mathews",5800,PHI,RB,MIN,14.5616,4.5984,9.58
"Darren Sproles",5100,PHI,RB,MIN,11.242,3.358,7.3
"Travaris Cadet",4800,NOS,RB,KCC,7.7096,0.6704,4.19
"Mark Ingram",6600,NOS,RB,KCC,20.424,7.176,13.8
"Todd Gurley",8100,LAR,RB,NYG,20.6298,7.6302,14.13
"Rashad Jennings",5800,NYG,RB,LAR,14.9778,3.8622,9.42
"Ka'Deem Carey",4500,CHI,RB,GBP,5.58,0,2.79
"Jordan Howard",7000,CHI,RB,GBP,18.99,6.33,12.66
"Knile Davis",4500,GBP,RB,CHI,,,3.53
"Don Jackson",4500,GBP,RB,CHI,,,7.99
"Bobby Rainey",4900,NYG,RB,LAR,9.5771,4.2029,6.89
"Orleans Darkwa",4800,NYG,RB,LAR,5.5735,1.5265,3.55
"Jamaal Charles",6800,KCC,RB,NOS,23.8221,3.7179,13.77
"Charcandrick West",4700,KCC,RB,NOS,6.391,1.309,3.85
"Bilal Powell",5400,NYJ,RB,BAL,15.6138,4.0262,9.82
"Matt Forte",6700,NYJ,RB,BAL,17.7528,5.0072,11.38
"Matt Jones",6700,WAS,RB,DET,17.3135,5.0265,11.17
"Chris Thompson",4900,WAS,RB,DET,9.8264,4.0136,6.92
"Theo Riddick",6300,DET,RB,WAS,16.2426,7.2974,11.77
"Ryan Grant",4500,WAS,WR,DET,2.48,0,1.24
"Kenneth Dixon",5300,BAL,RB,NYJ,4.08,0,2.04
"Terrance West",6900,BAL,RB,NYJ,17.3484,4.6116,10.98
"DeAndre Washington",5600,OAK,RB,JAC,7.2668,2.5532,4.91
"Spencer Ware",7000,KCC,RB,NOS,19.331,10.409,14.87
"Jalen Richard",5100,OAK,RB,JAC,6.235,2.365,4.3
"T.J. Yeldon",6300,JAC,RB,OAK,13.64,3.96,8.8
"Latavius Murray",5900,OAK,RB,JAC,,,9.5
"Chris Ivory",5500,JAC,RB,OAK,13.8073,2.5327,8.17
