"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16572-46088","RB","Jhurell","Pressley","0","0","4500","CHI@GB","GB","CHI","","","",""
"16572-28744","RB","Raheem","Mostert","-0.25","8","4500","CHI@GB","CHI","GB","","","",""
"16572-54623","WR","Jeff","Janis","1.2000000476837158","2","4500","CHI@GB","GB","CHI","","","",""
"16572-62623","RB","John","Crockett","1.0499999523162842","2","4500","CHI@GB","GB","CHI","IR","Shoulder","",""
"16572-29723","RB","Stepfan","Taylor","-0.20000000298023224","1","4500","NYJ@ARI","ARI","NYJ","","","",""
"16572-43504","RB","Don","Jackson","0","0","4500","CHI@GB","GB","CHI","","","",""
"16572-11431","TE","Jermaine","Gresham","1.4","5","4500","NYJ@ARI","ARI","NYJ","","","",""
"16572-6427","K","Connor","Barth","6","6","4500","CHI@GB","CHI","GB","","","",""
"16572-29003","RB","Ka'Deem","Carey","2.174999952316284","4","4500","CHI@GB","CHI","GB","Q","Hamstring","",""
"16572-12055","TE","Logan","Paulsen","0.6666666666666666","3","4500","CHI@GB","CHI","GB","","","",""
"16572-34154","WR","J.J.","Nelson","1.5","3","4500","NYJ@ARI","ARI","NYJ","","","",""
"16572-22029","RB","Bernard","Pierce","0.824999988079071","4","4500","NYJ@ARI","NYJ","ARI","","","",""
"16572-39153","TE","Ifeanyi","Momah","0","0","4500","NYJ@ARI","ARI","NYJ","","","",""
"16572-30684","RB","Brandon","Wilds","0","0","4500","NYJ@ARI","NYJ","ARI","","","",""
"16572-41370","WR","Trevor","Davis","0","4","4500","CHI@GB","GB","CHI","","","",""
"16572-14274","TE","Rob","Housler","1.0600000381469727","5","4500","CHI@GB","CHI","GB","","","",""
"16572-11609","RB","James","Starks","3.049999952316284","4","4500","CHI@GB","GB","CHI","O","Knee","",""
"16572-70489","TE","Ben","Braunecker","0","0","4500","CHI@GB","CHI","GB","","","",""
"16572-54694","TE","Justin","Perillo","1.350000023841858","2","4500","CHI@GB","GB","CHI","","","",""
"16572-7001","TE","Kellen","Davis","0","1","4500","NYJ@ARI","NYJ","ARI","","","",""
"16572-6642","K","Nick","Folk","8","5","4500","NYJ@ARI","NYJ","ARI","","","",""
"16572-11511","TE","Tony","Moeaki","4.433333396911621","3","4500","CHI@GB","CHI","GB","","","",""
"16572-38301","TE","Darren","Fells","3.1000000635782876","3","4500","NYJ@ARI","ARI","NYJ","","","",""
"16572-45343","WR","Daniel","Braverman","0","0","4500","CHI@GB","CHI","GB","","","",""
"16572-34224","TE","Kennard","Backman","0","7","4500","CHI@GB","GB","CHI","","","",""
"16572-24621","WR","Charone","Peake","5.800000190734863","2","4500","NYJ@ARI","NYJ","ARI","","","",""
"16572-33488","TE","Troy","Niklas","0.25","2","4500","NYJ@ARI","ARI","NYJ","IR","Wrist","",""
"16572-28933","WR","Jared","Abbrederis","0.6499999761581421","2","4500","CHI@GB","GB","CHI","Q","Quadriceps","",""
"16572-27411","RB","Aaron","Ripkowski","1.2000000476837158","2","4500","CHI@GB","GB","CHI","","","",""
"16572-28502","WR","Devin","Smith","2.857142857142857","7","4500","NYJ@ARI","NYJ","ARI","NA","Knee","",""
"16572-72676","RB","Troymaine","Pope","0","0","4500","NYJ@ARI","NYJ","ARI","","","",""
"16572-12527","D","Chicago","Bears","5.5","6","4300","CHI@GB","CHI","GB","","","",""
"16572-12544","D","New York","Jets","4.6","5","4000","NYJ@ARI","NYJ","ARI","","","",""
