player,salary,team,pos,opp,ceil,floor,fpts
"Mike Evans",8000,TBB,WR,SFO,26.2854,8.0746,17.18
"Adam Humphries",4900,TBB,WR,SFO,11.129,3.231,7.18
"James Wright",4500,CIN,WR,CLE,2.16,0,1.08
"Tyler Boyd",4800,CIN,WR,CLE,10.0624,3.1776,6.62
"A.J. Green",8500,CIN,WR,CLE,26.0988,7.3612,16.73
"Brandon LaFell",5700,CIN,WR,CLE,14.8983,3.8417,9.37
"Torrey Smith",5600,SFO,WR,TBB,11.988,1.332,6.66
"Quinton Patton",4800,SFO,WR,TBB,8.6506,1.7094,5.18
"Tyrell Williams",6100,SDC,WR,ATL,15.6009,3.7791,9.69
"Griff Whalen",4500,SDC,WR,ATL,2.6,0,1.3
"Dontrelle Inman",5600,SDC,WR,ATL,12.9948,1.2852,7.14
"Travis Benjamin",6100,SDC,WR,ATL,15.5708,3.1892,9.38
"Jeremy Kerley",5400,SFO,WR,TBB,14.852,3.948,9.4
"Rashard Higgins",4500,CLE,WR,CIN,2.44,0,1.22
"Ricardo Louis",4500,CLE,WR,CIN,7.59,2.53,5.06
"Walter Powell",0,BUF,WR,MIA,5.576,0.984,3.28
"Justin Hunter",4900,BUF,WR,MIA,16.2,0,8.1
"Marquise Goodwin",5300,BUF,WR,MIA,14.7175,2.1025,8.41
"Rishard Matthews",5600,TEN,WR,IND,12.58,2.22,7.4
"Andre Johnson",4900,TEN,WR,IND,8.7796,0.5604,4.67
"Jarvis Landry",7000,MIA,WR,BUF,17.8605,8.5995,13.23
"DeVante Parker",6200,MIA,WR,BUF,13.1706,3.0894,8.13
"Terrelle Pryor",7300,CLE,WR,CIN,18.5982,8.1618,13.38
"Andrew Hawkins",4500,CLE,WR,CIN,9.3155,2.7045,6.01
"Walter Powell",0,BUF,WR,MIA,,,1.43
"Leonte Carroo",4500,MIA,WR,BUF,3.56,0,1.78
"Kenny Stills",5100,MIA,WR,BUF,9.344,2.336,5.84
"Julio Jones",9200,ATL,WR,SDC,30.907,8.973,19.94
"Mohamed Sanu",5600,ATL,WR,SDC,13.0986,2.2214,7.66
"Jaron Brown",4800,ARI,WR,SEA,6.0401,0.4199,3.23
"DeAndre Hopkins",7900,HOU,WR,DEN,16.872,5.328,11.1
"John Brown",6300,ARI,WR,SEA,15.7584,3.0016,9.38
"Michael Floyd",5900,ARI,WR,SEA,10.9032,1.4168,6.16
"Larry Fitzgerald",7100,ARI,WR,SEA,20.413,6.987,13.7
"Will Fuller",6800,HOU,WR,DEN,17.523,2.277,9.9
"Braxton Miller",4500,HOU,WR,DEN,2.88,0,1.44
"Bennie Fowler",5000,DEN,WR,HOU,1.8816,0.6784,1.28
"Jordan Norwood",4500,DEN,WR,HOU,4.12,0,2.06
"Emmanuel Sanders",6700,DEN,WR,HOU,19.2528,7.4872,13.37
"Demaryius Thomas",7300,DEN,WR,HOU,19.1226,5.2374,12.18
"Jaelen Strong",4900,HOU,WR,DEN,7.64,0,3.82
"Paul Richardson",4500,SEA,WR,ARI,3.74,0,1.87
"Tyler Lockett",5200,SEA,WR,ARI,13.2432,1.6368,7.44
"Danny Amendola",4900,NEP,WR,PIT,8.6344,1.4056,5.02
"Chris Hogan",5500,NEP,WR,PIT,13.7441,2.7159,8.23
"Julian Edelman",6900,NEP,WR,PIT,18.1296,7.0504,12.59
"Taylor Gabriel",4700,ATL,WR,SDC,5.4,0,2.7
"Justin Hardy",4500,ATL,WR,SDC,6.1545,1.3055,3.73
"Malcolm Mitchell",4500,NEP,WR,PIT,4.42,0,2.21
"Antonio Brown",9000,PIT,WR,NEP,26.871,4.929,15.9
"Doug Baldwin",7100,SEA,WR,ARI,19.9144,7.3656,13.64
"Jermaine Kearse",4500,SEA,WR,ARI,6.9797,1.2803,4.13
"Darrius Heyward-Bey",4500,PIT,WR,NEP,4.62,0,2.31
"Sammie Coates",5800,PIT,WR,NEP,14.6146,1.4454,8.03
"Eli Rogers",5000,PIT,WR,NEP,7.8732,1.8468,4.86
"Kendall Wright",5000,TEN,WR,IND,14.9472,2.3328,8.64
"Tajae Sharpe",4700,TEN,WR,IND,9.1827,1.5573,5.37
