player,salary,team,pos,opp,ceil,floor,fpts
"Tim Hightower",4700,NOS,RB,SDC,,,2.6
"Mark Ingram",6800,NOS,RB,SDC,,,14.18
"Charles Sims",6500,TBB,RB,DEN,,,12.62
"Travaris Cadet",5000,NOS,RB,SDC,,,6.06
"Melvin Gordon",7600,SDC,RB,NOS,,,17.78
"Dexter McCluster",4500,SDC,RB,NOS,,,5.3
"Kenneth Farrow",4500,SDC,RB,NOS,,,1.27
"Jacquizz Rodgers",5500,TBB,RB,DEN,,,3.93
"Devontae Booker",5200,DEN,RB,TBB,,,3.44
"DeAndre Washington",4800,OAK,RB,BAL,,,5.66
"Latavius Murray",7100,OAK,RB,BAL,,,11.87
"Chris Thompson",5200,WAS,RB,CLE,,,6.42
"Justin Forsett",5800,BAL,RB,OAK,,,8.21
"Terrance West",4900,BAL,RB,OAK,,,6.79
"C.J. Anderson",7900,DEN,RB,TBB,,,17.16
"Jalen Richard",4900,OAK,RB,BAL,,,3.65
"Ezekiel Elliott",8100,DAL,RB,SFO,,,16.12
"Alfred Morris",5200,DAL,RB,SFO,,,3.13
"Orleans Darkwa",4500,NYG,RB,MIN,,,5.64
"Jerick McKinnon",5800,MIN,RB,NYG,,,9.38
"Matt Asiata",5700,MIN,RB,NYG,,,6.13
"Todd Gurley",7700,LAR,RB,ARI,,,12.25
"Benny Cunningham",4700,LAR,RB,ARI,,,2.3
"Chris Johnson",4900,ARI,RB,LAR,,,3.89
"David Johnson",8700,ARI,RB,LAR,,,18.88
"Bobby Rainey",4800,NYG,RB,MIN,,,2.72
"Rashad Jennings",5900,NYG,RB,MIN,,,9.72
"Shaun Draughn",4800,SFO,RB,DAL,,,3.87
"Carlos Hyde",6800,SFO,RB,DAL,,,15.25
"Lance Dunbar",4900,DAL,RB,SFO,,,4.36
"Spencer Ware",6200,KCC,RB,PIT,,,11.88
"Charcandrick West",5000,KCC,RB,PIT,,,7.1
"Le'Veon Bell",8300,PIT,RB,KCC,,,17.98
"DeAngelo Williams",5900,PIT,RB,KCC,,,7.17
"Matt Jones",6600,WAS,RB,CLE,,,12.71
"Duke Johnson",5400,CLE,RB,WAS,,,8.45
"Cameron Artis-Payne",5700,CAR,RB,ATL,,,9.19
"Chris Ivory",5700,JAC,RB,IND,,,6.24
"T.J. Yeldon",6700,JAC,RB,IND,,,9.16
"Fozzy Whittaker",5800,CAR,RB,ATL,,,7.16
"Devonta Freeman",7200,ATL,RB,CAR,,,10.61
"DeMarco Murray",7300,TEN,RB,HOU,,,15.34
"Tevin Coleman",6100,ATL,RB,CAR,,,9.63
"Josh Ferguson",4500,IND,RB,JAC,,,3.15
"Robert Turbin",5000,IND,RB,JAC,,,3.42
"Jeremy Hill",7000,CIN,RB,MIA,,,11.28
"Jay Ajayi",5500,MIA,RB,CIN,,,6.25
"Kenyan Drake",5400,MIA,RB,CIN,,,7.43
"Giovani Bernard",5500,CIN,RB,MIA,,,9.04
"Isaiah Pead",4500,MIA,RB,CIN,,,2.9
"Frank Gore",6100,IND,RB,JAC,,,11.48
"Damien Williams",4900,MIA,RB,CIN,,,5.75
"Derrick Henry",5000,TEN,RB,HOU,,,6.24
"Lamar Miller",8200,HOU,RB,TEN,,,17.6
"LeSean McCoy",7600,BUF,RB,NEP,,,13.55
"Ka'Deem Carey",4700,CHI,RB,DET,,,4.55
"Jordan Howard",5600,CHI,RB,DET,,,11.32
"Mike Gillislee",4900,BUF,RB,NEP,,,4.03
"LeGarrette Blount",7500,NEP,RB,BUF,,,15.32
"Isaiah Crowell",6600,CLE,RB,WAS,,,10.7
"James White",5300,NEP,RB,BUF,,,6.4
"Zach Zenner",5000,DET,RB,CHI,,,1.64
"Theo Riddick",6600,DET,RB,CHI,,,11.45
"Alex Collins",4500,SEA,RB,NYJ,,,3.26
"Alfred Blue",4700,HOU,RB,TEN,,,2.36
"Jonathan Grimes",4500,HOU,RB,TEN,,,3.83
"Christine Michael",7500,SEA,RB,NYJ,,,13.33
"Matt Forte",6900,NYJ,RB,SEA,,,12.97
"Dwayne Washington",4500,DET,RB,CHI,,,8.42
"Bilal Powell",5000,NYJ,RB,SEA,,,5.15
