player,salary,team,pos,opp,ceil,floor,fpts
"Wil Lutz",4500,NOS,K,SDC,,,6.67
"Josh Lambo",4500,SDC,K,NOS,,,9.32
"Roberto Aguayo",4500,TBB,K,DEN,,,7.81
"Brandon McManus",4800,DEN,K,TBB,,,9.25
"Sebastian Janikowski",4700,OAK,K,BAL,,,7.89
"Justin Tucker",5100,BAL,K,OAK,,,10.46
"Dan Bailey",4600,DAL,K,SFO,,,9.06
"Phil Dawson",4500,SFO,K,DAL,,,7.52
"Chandler Catanzaro",4600,ARI,K,LAR,,,8.75
"Greg Zuerlein",4500,LAR,K,ARI,,,6.76
"Josh Brown",4800,NYG,K,MIN,,,8.64
"Blair Walsh",4500,MIN,K,NYG,,,9.98
"Cairo Santos",4900,KCC,K,PIT,,,9.15
"Chris Boswell",4800,PIT,K,KCC,,,9.58
"Dustin Hopkins",4500,WAS,K,CLE,,,8.36
"Cody Parkey",4500,CLE,K,WAS,,,7.84
"Graham Gano",4800,CAR,K,ATL,,,9.85
"Matt Bryant",4600,ATL,K,CAR,,,7.02
"Adam Vinatieri",4800,IND,K,JAC,,,7.52
"Jason Myers",4500,JAC,K,IND,,,7.97
"Mike Nugent",4500,CIN,K,MIA,,,7.64
"Andrew Franks",4500,MIA,K,CIN,,,5.55
"Ryan Succop",4500,TEN,K,HOU,,,5.82
"Nick Novak",4500,HOU,K,TEN,,,7.98
"Dan Carpenter",4500,BUF,K,NEP,,,6.66
"Stephen Gostkowski",5200,NEP,K,BUF,,,11.08
"Matt Prater",4700,DET,K,CHI,,,8.96
"Connor Barth",4500,CHI,K,DET,,,8.21
"Nick Folk",4500,NYJ,K,SEA,,,7.23
"Steven Hauschka",4800,SEA,K,NYJ,,,9.44
