player,salary,team,pos,opp,ceil,floor,fpts
"Jameis Winston",7100,TBB,QB,DEN,,,16.84
"Drew Brees",8600,NOS,QB,SDC,,,20.98
"Philip Rivers",8500,SDC,QB,NOS,,,20.31
"Trevor Siemian",7400,DEN,QB,TBB,,,14.62
"Joe Flacco",7700,BAL,QB,OAK,,,18.07
"Kirk Cousins",7600,WAS,QB,CLE,,,19.1
"Derek Carr",8000,OAK,QB,BAL,,,19.52
"Dak Prescott",7200,DAL,QB,SFO,,,18.92
"Blaine Gabbert",6400,SFO,QB,DAL,,,15.8
"Case Keenum",6500,LAR,QB,ARI,,,10.45
"Carson Palmer",8000,ARI,QB,LAR,,,19.56
"Sam Bradford",7100,MIN,QB,NYG,,,16.14
"Eli Manning",7500,NYG,QB,MIN,,,16.43
"Alex Smith",6900,KCC,QB,PIT,,,16.62
"Ben Roethlisberger",8400,PIT,QB,KCC,,,20.78
"Cody Kessler",6300,CLE,QB,WAS,,,12.28
"Jimmy Garoppolo",7600,NEP,QB,BUF,,,16.36
"Cam Newton",9300,CAR,QB,ATL,,,23.16
"Matt Ryan",7900,ATL,QB,CAR,,,18.57
"Blake Bortles",7700,JAC,QB,IND,,,19.41
"Andrew Luck",8900,IND,QB,JAC,,,20.7
"Ryan Tannehill",7200,MIA,QB,CIN,,,18.04
"Andy Dalton",7600,CIN,QB,MIA,,,18.6
"Marcus Mariota",7400,TEN,QB,HOU,,,14.78
"Brock Osweiler",7300,HOU,QB,TEN,,,16.44
"Tyrod Taylor",7600,BUF,QB,NEP,,,17.03
"Jacoby Brissett",6700,NEP,QB,BUF,,,15.2
"Brian Hoyer",6000,CHI,QB,DET,,,13.72
"Matthew Stafford",8300,DET,QB,CHI,,,20.24
"Russell Wilson",8400,SEA,QB,NYJ,,,18.97
"Ryan Fitzpatrick",6900,NYJ,QB,SEA,,,15.29
