player,salary,team,pos,opp,ceil,floor,fpts
"Brandin Cooks",8200,NOS,WR,SDC,,,15.22
"Willie Snead",7500,NOS,WR,SDC,,,11.59
"Adam Humphries",5000,TBB,WR,DEN,,,8.31
"Vincent Jackson",5100,TBB,WR,DEN,,,7.64
"Jordan Norwood",4600,DEN,WR,TBB,,,2.62
"Mike Evans",8000,TBB,WR,DEN,,,15.23
"Michael Thomas",5300,NOS,WR,SDC,,,7.27
"Brandon Coleman",4600,NOS,WR,SDC,,,4.05
"Terrance Williams",4600,DAL,WR,SFO,,,6.98
"Cole Beasley",5200,DAL,WR,SFO,,,10.13
"Tyrell Williams",6400,SDC,WR,NOS,,,14.46
"Dontrelle Inman",5700,SDC,WR,NOS,,,7.21
"Travis Benjamin",6600,SDC,WR,NOS,,,15.54
"Bennie Fowler",4500,DEN,WR,TBB,,,1.67
"Emmanuel Sanders",6900,DEN,WR,TBB,,,13.76
"Amari Cooper",7600,OAK,WR,BAL,,,13.25
"Michael Crabtree",6500,OAK,WR,BAL,,,12.3
"Josh Doctson",4800,WAS,WR,CLE,,,3.53
"Jamison Crowder",6000,WAS,WR,CLE,,,9.21
"Pierre Garcon",6000,WAS,WR,CLE,,,8.65
"Seth Roberts",5400,OAK,WR,BAL,,,6.06
"Andre Holmes",4600,OAK,WR,BAL,,,2.93
"Breshad Perriman",5000,BAL,WR,OAK,,,4.3
"Demaryius Thomas",7900,DEN,WR,TBB,,,12.62
"Kamar Aiken",5400,BAL,WR,OAK,,,2.84
"Steve Smith",6100,BAL,WR,OAK,,,10.52
"Mike Wallace",6700,BAL,WR,OAK,,,11.43
"Torrey Smith",5600,SFO,WR,DAL,,,8.21
"Quinton Patton",4800,SFO,WR,DAL,,,4.7
"Kenny Britt",5500,LAR,WR,ARI,,,7.29
"Tavon Austin",5800,LAR,WR,ARI,,,8.3
"Cordarrelle Patterson",4700,MIN,WR,NYG,,,1.65
"Adam Thielen",4900,MIN,WR,NYG,,,6.11
"Stefon Diggs",7100,MIN,WR,NYG,,,13.94
