player,salary,team,pos,opp,ceil,floor,fpts
"Brandon Myers",4500,TBB,TE,DEN,,,1.49
"Cameron Brate",5300,TBB,TE,DEN,,,8.34
"Coby Fleener",5400,NOS,TE,SDC,,,9.3
"Hunter Henry",4500,SDC,TE,NOS,,,8.35
"Jason Witten",6000,DAL,TE,SFO,,,8.33
"John Phillips",4700,DEN,TE,TBB,,,2.83
"Virgil Green",4900,DEN,TE,TBB,,,6.87
"Lee Smith",4500,OAK,TE,BAL,,,1.66
"Clive Walford",4900,OAK,TE,BAL,,,7.36
"Dennis Pitta",5400,BAL,TE,OAK,,,11.2
"Crockett Gillmore",4500,BAL,TE,OAK,,,1.84
"Geoff Swaim",4500,DAL,TE,SFO,,,1.97
"Vance McDonald",4700,SFO,TE,DAL,,,6.84
"Lance Kendricks",4500,LAR,TE,ARI,,,3.52
"Kyle Rudolph",5600,MIN,TE,NYG,,,9.76
"Tyler Higbee",4500,LAR,TE,ARI,,,1.15
"Darren Fells",4700,ARI,TE,LAR,,,4.5
"Jermaine Gresham",4500,ARI,TE,LAR,,,2.36
"Will Tye",4700,NYG,TE,MIN,,,4.17
"Larry Donnell",5100,NYG,TE,MIN,,,5.73
"Garrett Celek",4500,SFO,TE,DAL,,,3.87
"Travis Kelce",6500,KCC,TE,PIT,,,12.44
"Demetrius Harris",4500,KCC,TE,PIT,,,2.37
"Jesse James",4500,PIT,TE,KCC,,,7.58
"Vernon Davis",4500,WAS,TE,CLE,,,3.4
"Jordan Reed",7500,WAS,TE,CLE,,,13.31
"Greg Olsen",7900,CAR,TE,ATL,,,14.46
"Marcedes Lewis",4600,JAC,TE,IND,,,4.26
"Ed Dickson",4500,CAR,TE,ATL,,,1.82
"Jacob Tamme",5500,ATL,TE,CAR,,,8.17
"Austin Hooper",4500,ATL,TE,CAR,,,2.32
"Julius Thomas",6000,JAC,TE,IND,,,8.89
"Jack Doyle",4800,IND,TE,JAC,,,8.22
"Dion Sims",4500,MIA,TE,CIN,,,6.84
"C.J. Uzomah",5000,CIN,TE,MIA,,,5.72
"Tyler Kroft",4600,CIN,TE,MIA,,,4.34
"Dwayne Allen",5900,IND,TE,JAC,,,7.17
"Delanie Walker",6700,TEN,TE,HOU,,,9.96
"Jace Amaro",4600,TEN,TE,HOU,,,3.83
"Charles Clay",5100,BUF,TE,NEP,,,5.7
"Zach Miller",5000,CHI,TE,DET,,,10.52
"Rob Gronkowski",7400,NEP,TE,BUF,,,12.33
"Martellus Bennett",6300,NEP,TE,BUF,,,4.55
"Gary Barnidge",5900,CLE,TE,WAS,,,7.83
"Eric Ebron",5800,DET,TE,CHI,,,10.4
"Kellen Davis",4500,NYJ,TE,SEA,,,1.96
"C.J. Fiedorowicz",4500,HOU,TE,TEN,,,1.6
"Ryan Griffin",4500,HOU,TE,TEN,,,6.26
"Luke Willson",4500,SEA,TE,NYJ,,,2.64
"Jimmy Graham",6400,SEA,TE,NYJ,,,11.06
