Rk	Player	Team	Pos	Bye	Age	Pass Yds	TD	Int	Rush Yds	TD	Rec	Yds	TD	Projected Points	ADP
68	Tom Brady	NE	QB	9	39	3,438	27	7	41	1	0	0	0	241.6	66.4
69	Rashad Jennings	NYG	RB	8	31	0	0	0	757	5	32	260	1	133.7	66.8
70	Chris Ivory	JAX	RB	5	28	0	0	0	719	5	22	159	1	119.8	67.7
71	Giovani Bernard	CIN	RB	9	24	0	0	0	663	4	48	417	2	142	69.7
72	Delanie Walker	TEN	TE	13	32	0	0	0	0	0	81	997	5	129.7	70.5
73	Larry Fitzgerald	ARI	WR	9	33	0	0	0	0	0	79	922	7	132.2	71.7
74	Derrick Henry	TEN	RB	13	22	0	0	0	583	4	15	126	1	96.9	72.1
75	Tyler Lockett	SEA	WR	5	22	0	0	0	31	0	62	856	7	128.7	72.3
76	Coby Fleener	NO	TE	5	27	0	0	0	0	0	73	852	5	115.2	73.2
77	John Brown	ARI	WR	9	26	0	0	0	8	0	66	965	7	137.3	75.1
78	Carson Palmer	ARI	QB	9	36	4,477	31	13	40	0	0	0	0	281.1	76.5
79	Emmanuel Sanders	DEN	WR	11	29	0	0	0	22	0	67	918	5	122	76.5
80	Duke Johnson	CLE	RB	13	22	0	0	0	544	3	57	491	2	131.5	77.9
81	Ameer Abdullah	DET	RB	10	23	0	0	0	810	5	34	266	1	139.6	79.4
82	Jordan Matthews	PHI	WR	4	24	0	0	0	0	0	77	948	7	134.8	81.3
83	Blake Bortles	JAX	QB	5	24	4,116	29	17	317	1	0	0	0	284.3	81.7
84	Gary Barnidge	CLE	TE	13	30	0	0	0	0	0	64	846	6	120.6	81.7
85	LeGarrette Blount	NE	RB	9	29	0	0	0	768	7	13	89	0	125.7	82.4
86	DeSean Jackson	WAS	WR	9	29	0	0	0	12	0	56	904	6	125.6	83.2
87	Danny Woodhead	SD	RB	11	31	0	0	0	362	2	71	604	4	130.6	84
88	Sterling Shepard	NYG	WR	8	22	0	0	0	0	0	59	757	6	109.7	86.2
89	Eli Manning	NYG	QB	8	35	4,482	31	14	45	0	0	0	0	279.8	87.2
90	Justin Forsett	BAL	RB	8	30	0	0	0	763	4	29	189	1	123.2	87.5
91	Isaiah Crowell	CLE	RB	13	23	0	0	0	737	5	19	161	1	121.8	89.3
92	Michael Crabtree	OAK	WR	10	28	0	0	0	1	0	71	835	6	119.6	90.5
93	Christine Michael	SEA	RB	5	25	0	0	0	431	2	13	91	0	62.2	91.2
94	Stefon Diggs	MIN	WR	6	22	0	0	0	7	0	59	772	5	107.9	92
95	TJ Yeldon	JAX	RB	5	22	0	0	0	685	4	36	268	1	121.3	92.5
96	Tyler Eifert	CIN	TE	9	25	0	0	0	0	0	41	490	5	79	93.2
97	Denver Broncos	DEN	DST	11	 	0	0	0	0	0	0	0	0	121	93.6
98	Julius Thomas	JAX	TE	5	28	0	0	0	0	0	53	591	5	89.1	94.5
99	Devante Parker	MIA	WR	8	23	0	0	0	1	0	54	781	6	114.2	94.9
100	Philip Rivers	SD	QB	11	34	4,544	30	14	47	0	0	0	0	278.5	95.7
101	Kevin White	CHI	WR	9	23	0	0	0	0	0	59	814	6	117.4	98.2
102	Jay Ajayi	MIA	RB	8	23	0	0	0	563	3	23	185	1	96.8	99.3
103	Charles Sims	TB	RB	6	25	0	0	0	450	2	50	459	2	112.9	99.8
104	Antonio Gates	SD	TE	11	36	0	0	0	0	0	66	758	6	111.8	100.8
105	Derek Carr	OAK	QB	10	25	4,086	28	13	116	1	0	0	0	267	101.5
106	Devin Funchess	CAR	WR	7	22	0	0	0	0	0	43	602	5	88.2	102.5
107	Arizona Cardinals	ARI	DST	9	 	0	0	0	0	0	0	0	0	118	103.8
108	Alfred Morris	DAL	RB	7	27	0	0	0	450	3	6	51	0	66.1	104.8
109	Tevin Coleman	ATL	RB	11	23	0	0	0	517	4	22	146	1	92.3	105.5
110	Seattle Seahawks	SEA	DST	5	 	0	0	0	0	0	0	0	0	120	107.5
111	Tyrod Taylor	BUF	QB	10	27	3,299	21	10	506	3	0	0	0	264.6	107.7
112	Travis Benjamin	SD	WR	11	26	0	0	0	1	0	52	742	5	102.3	108.3
113	Bilal Powell	NYJ	RB	11	27	0	0	0	438	2	37	301	1	89.9	108.7
114	Kirk Cousins	WAS	QB	9	28	4,165	27	15	81	2	0	0	0	264.7	109.9
115	James White	NE	RB	9	24	0	0	0	158	1	33	306	2	62.4	110.9
116	Willie Snead	NO	WR	5	23	0	0	0	0	0	66	875	5	115.5	112.2
117	Corey Coleman	CLE	WR	13	22	0	0	0	5	0	60	769	5	105.4	112.2
118	Zach Ertz	PHI	TE	4	25	0	0	0	0	0	76	941	4	116.1	112.3
119	Torrey Smith	SF	WR	8	27	0	0	0	0	0	57	879	5	117.9	114.2
120	Michael Thomas	NO	WR	5	23	0	0	0	0	0	49	678	6	101.8	115.2
121	Carolina Panthers	CAR	DST	7	 	0	0	0	0	0	0	0	0	117	116
122	Markus Wheaton	PIT	WR	8	25	0	0	0	5	0	53	733	5	101.8	117
123	Jameis Winston	TB	QB	6	22	4,039	25	15	206	3	0	0	0	270.2	118.5
124	Kamar Aiken	BAL	WR	8	27	0	0	0	0	0	53	701	5	98.1	119.5
125	Deandre Washington	OAK	RB	10	23	0	0	0	367	2	26	198	1	72.5	120.6
126	Houston Texans	HOU	DST	9	 	0	0	0	0	0	0	0	0	115	121.4
127	Matthew Stafford	DET	QB	10	28	4,275	26	13	132	1	0	0	0	268.2	121.6
128	Tavon Austin	LA	WR	8	25	0	0	0	264	2	57	546	4	115	122.5
129	Devontae Booker	DEN	RB	11	24	0	0	0	541	3	19	143	0	84.4	123.2
130	Jimmy Graham	SEA	TE	5	29	0	0	0	0	0	60	658	4	87.8	124.3
131	Vincent Jackson	TB	WR	6	33	0	0	0	0	0	57	846	6	120.6	124.5
132	Tajae Sharpe	TEN	WR	13	21	0	0	0	0	0	45	574	4	79.4	124.6
133	Kansas City Chiefs	KC	DST	5	 	0	0	0	0	0	0	0	0	103	125
134	Martellus Bennett	NE	TE	9	29	0	0	0	0	0	62	803	6	116.3	126.1
135	Spencer Ware	KC	RB	5	24	0	0	0	403	4	11	58	0	68.1	127.3
136	Andy Dalton	CIN	QB	9	28	3,860	26	13	170	2	0	0	0	261.4	129.3
137	Minnesota Vikings	MIN	DST	6	 	0	0	0	0	0	0	0	0	119	130.3
138	Dion Lewis	NE	RB	9	25	0	0	0	267	2	34	307	2	79.4	130.9
139	Marcus Mariota	TEN	QB	13	22	3,627	22	14	355	3	0	0	0	258.6	132.1
140	Mohamed Sanu	ATL	WR	11	27	0	0	0	12	0	57	684	4	93.6	132.3
141	Steve Smith	BAL	WR	8	37	0	0	0	0	0	50	646	4	88.6	134.3
142	Dwayne Allen	IND	TE	10	26	0	0	0	0	0	45	499	6	85.9	136.3
143	Darren Sproles	PHI	RB	4	33	0	0	0	291	2	50	386	2	89.7	136.5
144	Tyler Boyd	CIN	WR	9	21	0	0	0	39	0	47	577	4	83.6	139.3
145	Stephen Gostkowski	NE	K	9	32	0	0	0	0	0	0	0	0	142	139.8
146	New England Patriots	NE	DST	9	 	0	0	0	0	0	0	0	0	102	141
147	Dak Prescott	DAL	QB	7	23	1,635	11	8	164	1	0	0	0	115.8	141.3
148	Matt Ryan	ATL	QB	11	31	4,434	25	14	84	0	0	0	0	257.8	141.7
149	Jared Cook	GB	TE	4	29	0	0	0	0	0	41	551	3	71.1	142
150	Chris Johnson	ARI	RB	9	30	0	0	0	448	3	10	68	0	67.6	144.2
151	Theo Riddick	DET	RB	10	25	0	0	0	234	1	61	509	3	96.3	145
152	Will Fuller	HOU	WR	9	22	0	0	0	4	0	43	605	4	84.9	145.9
153	Jason Witten	DAL	TE	7	34	0	0	0	0	0	70	738	3	89.8	146.3
154	Phillip Dorsett	IND	WR	10	23	0	0	0	12	0	50	680	5	97.2	147.3
155	James Starks	GB	RB	4	30	0	0	0	478	3	26	201	1	89.9	148.8
156	Jerick McKinnon	MIN	RB	6	24	0	0	0	366	2	28	221	1	74.7	149.4
157	Steven Hauschka	SEA	K	5	31	0	0	0	0	0	0	0	0	128	151.3
