31	QB	Jameis Winston	TB	6	12.8	12.7	12.0	11.4	11.9	12.8	0.0	11.9	13.2	13.3	14.9	13.0	9.9	16.1	14.7	11.0	15.7	9.7
32	RB	Mark Ingram	NO	5	12.8	10.8	14.5	11.4	12.2	11.2	15.0	11.7	16.9	17.1	10.7	0.0	10.3	13.9	11.9	10.7	13.8	12.2
33	WR	Julio Jones	ATL	11	12.3	16.0	10.9	12.2	14.0	14.6	12.1	10.4	15.4	8.8	0.0	12.2	11.2	12.6	9.8	10.5	12.0	14.8
34	DEF	Denver Defense	DEN	11	12.2	13.2	11.2	11.2	13.2	11.2	11.2	0.0	13.2	11.2	13.2	11.2	13.2	11.2	13.2	11.2	13.2	13.2
35	TE	Jordan Reed	WAS	9	11.8	10.2	12.6	10.2	14.9	12.3	9.6	14.3	0.0	10.0	13.7	9.1	12.4	13.9	12.0	9.6	12.2	11.4
36	QB	Ryan Tannehill	MIA	8	11.7	11.8	10.4	10.2	12.4	0.0	10.3	13.8	10.6	8.4	12.9	14.8	10.2	14.2	13.2	8.5	12.0	13.0
37	DEF	Seattle Defense	SEA	5	11.6	10.6	10.6	12.6	12.6	10.6	12.6	10.6	10.6	0.0	12.6	12.6	12.6	10.6	10.6	12.6	12.6	10.6
38	RB	LeSean McCoy	BUF	10	11.6	13.0	11.3	11.6	15.4	12.7	13.4	10.3	0.0	14.2	8.6	9.2	12.3	11.5	10.2	9.7	11.1	10.5
39	QB	Peyton Manning	DEN	11	11.5	14.6	8.5	10.3	11.4	10.8	9.5	0.0	12.0	10.1	10.3	13.2	13.4	8.8	13.2	12.6	14.0	10.8
40	TE	Rob Gronkowski	NE	9	11.4	14.8	8.3	12.6	0.0	12.0	9.7	12.3	10.7	14.2	10.7	10.1	9.2	15.6	11.2	12.5	10.0	8.8
41	WR	Dez Bryant	DAL	7	11.4	12.5	12.2	15.1	11.3	12.3	0.0	10.2	9.3	14.9	11.7	8.4	11.2	11.1	9.0	11.7	7.9	13.6
42	RB	Doug Martin	TB	6	11.2	14.5	11.5	8.7	11.7	11.6	0.0	9.0	10.4	14.3	10.3	9.5	9.9	12.7	14.1	9.3	11.9	9.6
43	WR	DeAndre Hopkins	HOU	9	11.2	9.7	9.4	14.8	12.7	11.7	10.1	8.6	12.2	0.0	10.8	12.1	14.2	8.1	12.6	9.5	10.0	12.3
44	QB	Colin Kaepernick	SF	8	11.0	10.2	11.3	11.6	10.7	10.0	13.1	9.1	10.1	14.7	0.0	7.4	14.2	11.8	8.5	12.5	9.2	12.4
45	RB	Matt Forte	CHI	9	11.0	13.7	11.7	8.0	13.5	12.0	7.7	0.0	14.0	11.6	9.8	9.6	11.2	10.6	11.6	11.5	10.5	9.5
46	WR	Allen Robinson	JAC	5	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	0.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0
47	TE	Greg Olsen	CAR	7	11.0	9.0	12.0	12.7	10.8	0.0	7.0	13.7	10.4	10.1	8.9	12.5	10.5	10.4	13.9	9.4	11.3	13.2
48	DEF	Carolina Defense	CAR	7	10.8	9.9	11.7	11.7	9.9	0.0	9.9	11.7	11.7	11.7	9.9	11.7	9.9	9.9	11.7	9.9	9.9	11.7
49	WR	A.J. Green	CIN	9	10.5	9.8	9.7	10.8	9.3	9.2	7.8	0.0	11.4	10.4	12.9	11.7	12.5	8.5	14.0	8.1	8.7	13.2
50	RB	Latavius Murray	OAK	10	10.5	12.0	9.2	11.6	9.4	8.9	0.0	10.7	9.4	7.8	12.9	7.1	11.4	13.4	7.3	12.5	13.1	11.0
51	QB	Jay Cutler	CHI	9	10.4	11.0	14.6	7.6	12.1	7.8	9.5	0.0	10.4	8.1	10.4	10.8	9.0	10.1	13.6	8.5	11.8	11.6
52	DEF	Kansas City Defense	KC	5	10.4	9.6	11.2	9.6	9.6	11.2	9.6	11.2	11.2	0.0	9.6	9.6	11.2	9.6	11.2	9.6	11.2	11.2
53	DEF	Houston Defense	HOU	9	10.4	11.2	9.6	11.2	9.6	11.2	9.6	9.6	11.2	0.0	9.6	11.2	11.2	9.6	11.2	9.6	9.6	11.2
54	DEF	Los Angeles Defense	LA	8	10.4	11.2	9.6	11.2	9.6	9.6	0.0	11.2	11.2	9.6	11.2	9.6	9.6	11.2	11.2	11.2	9.6	9.6
55	WR	Jordy Nelson	GB	4	10.4	11.7	9.1	9.2	8.0	12.3	9.6	0.0	8.6	8.9	11.2	8.3	14.4	9.2	13.6	9.7	11.6	10.1
56	RB	Eddie Lacy	GB	4	10.3	9.7	9.3	13.8	8.2	11.3	13.5	0.0	7.5	9.5	8.9	10.9	11.8	7.3	10.2	10.4	9.1	13.3
57	DEF	NY Jets Defense	NYJ	11	10.2	11.0	9.4	11.0	9.4	0.0	11.0	9.4	9.4	11.0	11.0	9.4	11.0	9.4	11.0	9.4	11.0	9.4
58	DEF	Cincinnati Defense	CIN	9	10.0	9.2	10.8	9.2	10.8	10.8	9.2	0.0	9.2	10.8	10.8	9.2	10.8	9.2	10.8	9.2	9.2	10.8
59	DEF	Buffalo Defense	BUF	10	10.0	10.8	10.8	9.2	10.8	9.2	10.8	9.2	0.0	10.8	9.2	9.2	9.2	10.8	9.2	9.2	10.8	10.8
60	RB	Lamar Miller	MIA	8	10.0	8.8	9.3	10.5	9.5	0.0	11.5	10.4	8.3	8.6	9.2	10.0	7.7	9.3	13.9	10.8	11.8	10.2
61	WR	Mike Evans	TB	6	9.8	9.7	9.2	8.7	9.1	9.8	0.0	9.1	10.1	10.2	11.4	10.0	7.6	12.3	11.3	8.5	12.0	7.5
62	TE	Delanie Walker	TEN	13	9.7	10.4	7.7	10.0	0.0	8.5	9.0	13.3	9.4	10.0	9.8	8.7	10.7	10.6	8.5	8.9	11.5	8.2
63	WR	Brandin Cooks	NO	5	9.7	9.6	11.6	7.4	11.3	9.9	12.2	7.5	10.1	9.6	9.0	0.0	8.6	9.0	9.5	9.3	9.7	10.0
64	DEF	Minnesota Defense	MIN	6	9.6	8.8	10.4	10.4	8.8	0.0	10.4	8.8	8.8	10.4	8.8	10.4	8.8	10.4	8.8	10.4	10.4	8.8
65	WR	Brandon Marshall	NYJ	11	9.6	9.4	8.2	13.2	7.4	0.0	12.0	8.9	8.8	10.6	8.6	9.5	9.1	9.0	10.6	10.1	10.9	7.0
66	RB	Arian Foster	HOU	9	9.6	11.8	8.2	10.4	8.8	10.3	8.1	9.2	12.3	0.0	8.7	8.3	12.0	7.5	8.9	8.4	10.1	9.9
67	DEF	New England Defense	NE	9	9.4	10.1	8.7	10.1	0.0	8.7	8.7	10.1	10.1	10.1	8.7	10.1	8.7	10.1	8.7	10.1	8.7	8.7
68	WR	Demaryius Thomas	DEN	11	9.4	12.0	6.9	8.4	9.3	8.9	7.8	0.0	9.8	8.3	8.5	10.8	11.0	7.2	10.8	10.4	11.5	8.8
69	RB	Jeremy Langford	CHI	9	9.4	11.6	10.0	6.8	11.5	10.2	6.6	0.0	11.9	9.9	8.3	8.2	9.5	9.0	9.8	9.8	9.0	8.0
70	WR	Julian Edelman	NE	9	9.4	12.2	6.8	10.3	0.0	9.8	8.0	10.1	8.8	11.7	8.8	8.3	7.6	12.8	9.2	10.2	8.2	7.2
71	QB	Joe Flacco	BAL	8	9.3	7.8	8.8	11.4	10.3	9.4	7.3	10.5	8.7	0.0	10.6	11.2	7.7	7.4	8.2	8.4	12.5	9.3
72	RB	DeMarco Murray	PHI	4	9.3	9.0	9.0	7.0	7.9	12.3	12.5	8.4	0.0	7.3	11.5	10.7	6.4	7.5	9.5	9.8	9.6	10.2
73	RB	TJ Yeldon	JAC	5	9.2	9.2	9.2	9.2	9.2	9.2	9.2	9.2	0.0	9.2	9.2	9.2	9.2	9.2	9.2	9.2	9.2	9.2
74	DEF	Pittsburgh Defense	PIT	8	9.2	8.5	9.9	8.5	9.9	8.5	9.9	8.5	9.9	9.9	9.9	0.0	8.5	9.9	8.5	9.9	8.5	8.5
75	DEF	Green Bay Defense	GB	4	9.2	8.5	9.9	9.9	8.5	9.9	9.9	0.0	8.5	8.5	9.9	8.5	9.9	8.5	9.9	8.5	8.5	9.9
76	DEF	Miami Defense	MIA	8	9.2	8.5	8.5	9.9	9.9	0.0	8.5	9.9	8.5	8.5	8.5	9.9	8.5	9.9	9.9	8.5	9.9	9.9
77	WR	Jarvis Landry	MIA	8	9.2	9.2	8.2	8.0	9.7	0.0	8.1	10.8	8.3	6.6	10.1	11.6	8.0	11.1	10.4	6.7	9.4	10.2
78	PK	Graham Gano	CAR	7	9.1	8.2	10.0	10.0	8.2	0.0	8.2	10.0	10.0	10.0	8.2	10.0	8.2	8.2	10.0	8.2	8.2	10.0
79	TE	Tyler Eifert	CIN	9	9.1	8.4	8.4	9.3	8.1	7.9	6.7	0.0	9.9	9.0	11.1	10.1	10.8	7.4	12.1	7.0	7.5	11.4
80	PK	Stephen Gostkowski	NE	9	9.0	9.9	8.1	9.9	0.0	8.1	8.1	9.9	9.9	9.9	8.1	9.9	8.1	9.9	8.1	9.9	8.1	8.1
81	WR	Alshon Jeffery	CHI	9	9.0	9.5	12.5	6.6	10.4	6.7	8.1	0.0	9.0	7.0	8.9	9.3	7.7	8.7	11.7	7.4	10.1	10.0
82	WR	Keenan Allen	SD	11	9.0	9.8	8.9	7.2	9.0	12.0	7.6	10.3	9.3	12.5	0.0	8.0	8.3	9.2	6.6	8.7	8.4	7.5
83	TE	Travis Kelce	KC	5	8.9	9.0	9.1	7.5	8.8	12.4	7.2	11.9	9.7	0.0	7.4	6.8	8.1	8.3	8.3	9.2	8.9	10.2
84	RB	Carlos Hyde	SF	8	8.9	11.3	6.9	7.8	11.0	9.9	8.1	7.9	7.9	10.7	0.0	6.5	9.5	8.3	10.2	10.6	6.3	9.6
85	RB	Marshawn Lynch	SEA	5	8.9	8.0	9.2	10.3	7.8	8.8	10.1	7.1	7.2	0.0	9.6	8.7	8.5	9.4	6.7	12.6	9.8	7.9
86	RB	Dion Lewis	CLE	13	8.8	6.9	12.5	11.1	9.6	6.8	8.0	8.1	9.7	8.8	7.0	0.0	8.3	10.8	8.7	6.6	9.9	8.6
87	RB	Jeremy Hill	CIN	9	8.7	8.9	11.4	6.6	11.8	7.9	7.5	0.0	6.9	12.4	9.0	7.7	9.6	10.1	8.4	7.0	6.3	8.1
88	WR	Kelvin Benjamin	CAR	7	8.7	7.1	9.5	10.0	8.5	0.0	5.5	10.8	8.3	8.0	7.1	9.9	8.3	8.2	11.0	7.4	9.0	10.4
89	RB	CJ Anderson	DEN	11	8.6	7.3	8.8	5.7	10.3	8.1	9.2	0.0	10.0	7.6	10.7	7.5	8.0	8.5	9.9	6.2	9.6	10.4
90	QB	Alex Smith	KC	5	8.4	8.5	8.6	7.1	8.3	11.7	6.8	11.2	9.2	0.0	7.0	6.4	7.7	7.9	7.8	8.7	8.4	9.6
91	DEF	Detroit Defense	DET	10	8.4	7.8	7.8	9.0	7.8	9.0	9.0	9.0	7.8	0.0	7.8	9.0	9.0	9.0	7.8	7.8	9.0	7.8
92	QB	Garrett Grayson	NO	5	8.4	8.4	10.1	6.4	9.8	8.6	10.6	6.5	8.8	8.4	7.8	0.0	7.5	7.8	8.2	8.1	8.4	8.7
93	RB	Jonathan Stewart	CAR	7	8.3	7.1	7.9	10.5	7.5	0.0	5.7	8.6	9.0	9.7	8.8	8.2	6.3	8.6	9.4	8.7	7.7	9.2
94	WR	Amari Cooper	OAK	10	8.2	10.2	10.7	6.9	9.6	8.6	0.0	6.4	9.3	9.2	8.3	7.5	7.7	7.5	7.0	8.7	7.8	6.2
95	DEF	Philadelphia Defense	PHI	4	8.2	7.6	8.8	7.6	7.6	8.8	8.8	7.6	0.0	7.6	8.8	8.8	7.6	7.6	8.8	8.8	8.8	7.6
96	DEF	Chicago Defense	CHI	9	8.2	8.8	8.8	7.6	8.8	7.6	7.6	0.0	8.8	7.6	7.6	8.8	7.6	8.8	8.8	7.6	7.6	8.8
97	DEF	Cleveland Defense	CLE	13	8.2	7.6	8.8	8.8	7.6	7.6	8.8	7.6	8.8	7.6	7.6	0.0	8.8	8.8	8.8	7.6	7.6	8.8
98	PK	Chandler Catanzaro	ARI	9	8.2	9.0	7.4	9.0	9.0	7.4	7.4	9.0	7.4	0.0	7.4	9.0	7.4	7.4	9.0	7.4	9.0	9.0
99	PK	Dan Bailey	DAL	7	8.2	9.0	7.4	9.0	7.4	9.0	0.0	7.4	9.0	9.0	7.4	7.4	9.0	7.4	7.4	9.0	7.4	9.0
100	TE	Jimmy Graham	SEA	5	8.1	7.5	6.5	10.6	8.3	7.6	8.1	5.9	8.3	0.0	10.5	7.2	10.2	6.2	7.9	7.7	9.1	8.6
101	PK	Steven Hauschka	SEA	5	8.1	7.3	7.3	8.9	8.9	7.3	8.9	7.3	7.3	0.0	8.9	8.9	8.9	7.3	7.3	8.9	8.9	7.3
102	PK	Brandon McManus	DEN	11	8.1	8.9	7.3	7.3	8.9	7.3	7.3	0.0	8.9	7.3	8.9	7.3	8.9	7.3	8.9	7.3	8.9	8.9
103	PK	Mason Crosby	GB	4	8.1	7.3	8.9	8.9	7.3	8.9	8.9	0.0	7.3	7.3	8.9	7.3	8.9	7.3	8.9	7.3	7.3	8.9
104	PK	Justin Tucker	BAL	8	8.0	7.2	7.2	8.8	7.2	8.8	7.2	7.2	8.8	0.0	8.8	8.8	7.2	7.2	8.8	8.8	8.8	7.2
105	PK	Cairo Santos	KC	5	8.0	7.2	8.8	7.2	7.2	8.8	7.2	8.8	8.8	0.0	7.2	7.2	8.8	7.2	8.8	7.2	8.8	8.8
106	RB	Justin Forsett	BAL	8	8.0	5.5	7.7	9.2	6.0	10.8	6.1	6.7	10.0	0.0	8.6	8.4	8.8	7.9	6.9	10.2	7.3	7.5
107	WR	T.Y. Hilton	IND	10	7.8	5.5	8.2	6.8	8.4	7.5	8.6	9.6	6.4	7.5	0.0	8.6	10.0	8.1	6.9	9.1	5.8	8.3
