Player , Kickoff , Opponent , Spread , Over/Under , Predicted Score , Weather , Projected Rank , Salary Rank , Difference , Projected Points , Salary , CPP 
Kellen Davis (NYJ - TE),Sun 1:00PM,BAL,NYJ (-2.5),40,NYJ 21,"Clear, 56 F, 14 mph",64,101,+37,0.69,"$4,500","$6,527"
Jace Amaro (TEN - TE),Sun 1:00PM,IND,TEN (-3.5),48,TEN 26,"Clear, 64 F, 6 mph",65,73,+8,0.55,"$4,500","$8,242"
Luke Stocker (TB - TE),Sun 4:05PM,@SF,TB (+1),45,TB 22,"Clear, 70 F, 5 mph",66,39,-27,0.54,"$4,500","$8,272"
Jordan Cameron (MIA - TE),Sun 1:00PM,BUF,MIA (+2.5),45,MIA 21,"Clear, 78 F, 11 mph",93,38,-55,0,"$4,500",$0
Andrew Quarless (DET - TE),Sun 1:00PM,WAS,DET (+1),50,DET 25,Indoor,94,35,-59,0,"$4,500",$0
Lee Smith (OAK - TE) IR,Sun 1:00PM,@JAC,OAK (+2),47.5,OAK 23,"Clear, 68 F, 8 mph",92,40,-52,0,"$4,500",$0
Michael Hoomanawanui (NO - TE) IR,Sun 1:00PM,@KC,NO (+7),51.5,NO 22,"Clear, 64 F, 10 mph",95,34,-61,0,"$4,500",$0
Chris Pantale (PHI - TE),Sun 1:00PM,MIN,PHI (+3),39,PHI 18,"Partly Cloudy, 58 F, 12 mph",90,52,-38,0,"$4,500",$0
Jim Dray (BUF - TE),Sun 1:00PM,@MIA,BUF (-2.5),45,BUF 24,"Clear, 78 F, 11 mph",87,36,-51,0,"$4,500",$0
Jeff Cumberland (SD - TE) IR,Sun 4:05PM,@ATL,SD (+5.5),52.5,SD 24,Indoor,88,37,-51,0,"$4,500",$0
Asante Cleveland (SD - TE),Sun 4:05PM,@ATL,SD (+5.5),52.5,SD 24,Indoor,89,53,-36,0,"$4,500",$0
 (TEN - TE),Sun 1:00PM,IND,TEN (-3.5),48,TEN 26,"Clear, 64 F, 6 mph",91,47,-44,0,"$4,500",$0
Gabe Holmes (OAK - TE) IR,Sun 1:00PM,@JAC,OAK (+2),47.5,OAK 23,"Clear, 68 F, 8 mph",102,62,-40,0,"$4,500",$0
Derek Carrier (WAS - TE),Sun 1:00PM,@DET,WAS (-1),50,WAS 26,Indoor,86,48,-38,0,"$4,500",$0
Randall Telfer (CLE - TE),Sun 1:00PM,@CIN,CLE (+11),46,CLE 18,"Clear, 60 F, 9 mph",103,65,-38,0,"$4,500",$0
Stephen Anderson (HOU - TE),Mon 8:30PM,@DEN,HOU (+7.5),40.5,HOU 17,"Clear, 68 F, 3 mph",104,63,-41,0,"$4,500",$0
Maxx Williams (BAL - TE) IR,Sun 1:00PM,@NYJ,BAL (+2.5),40,BAL 19,"Clear, 56 F, 14 mph",101,58,-43,0,"$4,500",$0
Jake Stoneburner (NO - TE),Sun 1:00PM,@KC,NO (+7),51.5,NO 22,"Clear, 64 F, 10 mph",100,60,-40,0,"$4,500",$0
Nic Jacobs (JAC - TE),Sun 1:00PM,OAK,JAC (-2),47.5,JAC 25,"Clear, 68 F, 8 mph",97,70,-27,0,"$4,500",$0
Austin Seferian-Jenkins (NYJ - TE),Sun 1:00PM,BAL,NYJ (-2.5),40,NYJ 21,"Clear, 56 F, 14 mph",98,23,-75,0,"$4,800",$0
Garrett Graham (DEN - TE),Mon 8:30PM,HOU,DEN (-7.5),40.5,DEN 24,"Clear, 68 F, 3 mph",99,32,-67,0,"$4,500",$0
Jordan Reed (WAS - TE),Sun 1:00PM,@DET,WAS (-1),50,WAS 26,Indoor,96,2,-94,0,"$7,300",$0
Jerome Cunningham (TEN - TE),Sun 1:00PM,IND,TEN (-3.5),48,TEN 26,"Clear, 64 F, 6 mph",78,89,+11,0,"$4,500",$0
Ben Koyack (JAC - TE),Sun 1:00PM,OAK,JAC (-2),47.5,JAC 25,"Clear, 68 F, 8 mph",72,77,+5,0,"$4,500",$0
Eric Tomlinson (HOU - TE),Mon 8:30PM,@DEN,HOU (+7.5),40.5,HOU 17,"Clear, 68 F, 3 mph",73,75,+2,0,"$4,500",$0
Dwayne Allen (IND - TE),Sun 1:00PM,@TEN,IND (+3.5),48,IND 22,"Clear, 64 F, 6 mph",74,10,-64,0,"$5,700",$0
Darion Griswold (IND - TE),Sun 1:00PM,@TEN,IND (+3.5),48,IND 22,"Clear, 64 F, 6 mph",71,86,+15,0,"$4,500",$0
Troy Niklas (ARI - TE) IR,Sun 8:30PM,SEA,ARI (-1),43.5,ARI 22,Indoor,70,76,+6,0,"$4,500",$0
Thomas Duarte (MIA - TE),Sun 1:00PM,BUF,MIA (+2.5),45,MIA 21,"Clear, 78 F, 11 mph",67,85,+18,0,"$4,500",$0
E.J. Bibbs (CLE - TE),Sun 1:00PM,@CIN,CLE (+11),46,CLE 18,"Clear, 60 F, 9 mph",68,83,+15,0,"$4,500",$0
Anthony Denham (PHI - TE),Sun 1:00PM,MIN,PHI (+3),39,PHI 18,"Partly Cloudy, 58 F, 12 mph",69,74,+5,0,"$4,500",$0
Chase Coffman (IND - TE),Sun 1:00PM,@TEN,IND (+3.5),48,IND 22,"Clear, 64 F, 6 mph",75,103,+28,0,"$4,500",$0
Seth DeValve (CLE - TE),Sun 1:00PM,@CIN,CLE (+11),46,CLE 18,"Clear, 60 F, 9 mph",76,102,+26,0,"$4,500",$0
Matt Spaeth (PIT - TE),Sun 4:25PM,NE,PIT (+7.5),48.5,PIT 21,"Partly Cloudy, 64 F, 11 mph",82,96,+14,0,"$4,500",$0
John Peters (CIN - TE),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",83,94,+11,0,"$4,500",$0
Matt Lengel (CIN - TE),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",84,93,+9,0,"$4,500",$0
James O'Shaughnessy (KC - TE),Sun 1:00PM,NO,KC (-7),51.5,KC 29,"Clear, 64 F, 10 mph",81,91,+10,0,"$4,500",$0
Je'Ron Hamm (SF - TE),Sun 4:05PM,TB,SF (-1),45,SF 23,"Clear, 70 F, 5 mph",80,87,+7,0,"$4,500",$0
Eric Ebron (DET - TE),Sun 1:00PM,WAS,DET (+1),50,DET 25,Indoor,77,11,-66,0,"$5,600",$0
Wes Saxton (WAS - TE),Sun 1:00PM,@DET,WAS (-1),50,WAS 26,Indoor,79,88,+9,0,"$4,500",$0
Cooper Helfet (OAK - TE),Sun 1:00PM,@JAC,OAK (+2),47.5,OAK 23,"Clear, 68 F, 8 mph",85,50,-35,0,"$4,500",$0
