Player , Kickoff , Opponent , Spread , Over/Under , Predicted Score , Weather , Projected Rank , Salary Rank , Difference , Projected Points , Salary , CPP 
Tyler Bray (KC - QB),Sun 1:00PM,NO,KC (-7),51,KC 29,"Clear, 64 F, 10 mph",75,60,-15,0,"$5,000",$0
Matt Schaub (ATL - QB),Sun 4:05PM,SD,ATL (-5.5),53,ATL 29,Indoor,76,39,-37,0,"$6,000",$0
Nate Sudfeld (WAS - QB),Sun 1:00PM,@DET,WAS (-1),50,WAS 26,Indoor,77,55,-22,0,"$5,000",$0
Brandon Allen (JAC - QB),Sun 1:00PM,OAK,JAC (-2),47,JAC 25,"Clear, 68 F, 8 mph",73,61,-12,0,"$5,000",$0
Zach Mettenberger (PIT - QB),Sun 4:25PM,NE,PIT (+7.5),48.5,PIT 21,"Partly Cloudy, 64 F, 11 mph",72,62,-10,0,"$5,000",$0
Jeff Driskel (CIN - QB),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",68,59,-9,0,"$5,000",$0
Cardale Jones (BUF - QB),Sun 1:00PM,@MIA,BUF (-2.5),45,BUF 24,"Clear, 78 F, 11 mph",70,58,-12,0,"$5,000",$0
Christian Hackenberg (NYJ - QB),Sun 1:00PM,BAL,NYJ (-2),40.5,NYJ 21,"Clear, 56 F, 14 mph",55,65,+10,0,"$5,000",$0
Connor Cook (OAK - QB),Sun 1:00PM,@JAC,OAK (+2),47,OAK 23,"Clear, 68 F, 8 mph",71,57,-14,0,"$5,000",$0
Josh Woodrum (IND - QB),Sun 1:00PM,@TEN,IND (+3.5),48,IND 22,"Clear, 64 F, 6 mph",67,73,+6,0,"$5,000",$0
Matt Cassel (TEN - QB),Sun 1:00PM,IND,TEN (-3.5),48,TEN 26,"Clear, 64 F, 6 mph",39,41,+2,0,"$6,000",$0
Luke McCown (NO - QB),Sun 1:00PM,@KC,NO (+7),51,NO 22,"Clear, 64 F, 10 mph",38,75,+37,0,"$5,000",$0
Trevone Boykin (SEA - QB),Sun 8:30PM,@ARI,SEA (+1),43.5,SEA 21,Indoor,40,37,-3,0,"$6,000",$0
Scott Tolzien (IND - QB),Sun 1:00PM,@TEN,IND (+3.5),48,IND 22,"Clear, 64 F, 6 mph",41,50,+9,0,"$5,000",$0
Ben Roethlisberger (PIT - QB),Sun 4:25PM,NE,PIT (+7.5),48.5,PIT 21,"Partly Cloudy, 64 F, 11 mph",42,4,-38,0,"$8,400",$0
Charlie Whitehurst (CLE - QB),Sun 1:00PM,@CIN,CLE (+11),46,CLE 18,"Clear, 60 F, 9 mph",37,42,+5,0,"$6,000",$0
Josh McCown (CLE - QB),Sun 1:00PM,@CIN,CLE (+11),46,CLE 18,"Clear, 60 F, 9 mph",36,26,-10,0,"$6,600",$0
Nick Foles (KC - QB),Sun 1:00PM,NO,KC (-7),51,KC 29,"Clear, 64 F, 10 mph",32,34,+2,0,"$6,000",$0
Brandon Weeden (HOU - QB),Mon 8:30PM,@DEN,HOU (+7.5),40.5,HOU 17,"Clear, 68 F, 3 mph",33,33,0,0,"$6,000",$0
Tom Savage (HOU - QB),Mon 8:30PM,@DEN,HOU (+7.5),40.5,HOU 17,"Clear, 68 F, 3 mph",34,52,+18,0,"$5,000",$0
Jake Heaps (SEA - QB),Sun 8:30PM,@ARI,SEA (+1),43.5,SEA 21,Indoor,35,54,+19,0,"$5,000",$0
Chad Henne (JAC - QB),Sun 1:00PM,OAK,JAC (-2),47,JAC 25,"Clear, 68 F, 8 mph",43,48,+5,0,"$5,500",$0
Matt McGloin (OAK - QB),Sun 1:00PM,@JAC,OAK (+2),47,OAK 23,"Clear, 68 F, 8 mph",44,46,+2,0,"$5,500",$0
Dan Orlovsky (DET - QB),Sun 1:00PM,WAS,DET (+1),50,DET 25,Indoor,50,76,+26,0,"$5,000",$0
Mike Glennon (TB - QB),Sun 4:05PM,@SF,TB (+1),45,TB 22,"Clear, 70 F, 5 mph",51,35,-16,0,"$6,000",$0
E.J. Manuel (BUF - QB),Sun 1:00PM,@MIA,BUF (-2.5),45,BUF 24,"Clear, 78 F, 11 mph",52,51,-1,0,"$5,000",$0
AJ McCarron (CIN - QB),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",53,43,-10,0,"$5,900",$0
Chase Daniel (PHI - QB),Sun 1:00PM,MIN,PHI (+3),39,PHI 18,"Partly Cloudy, 58 F, 12 mph",49,77,+28,0,"$5,000",$0
Jacoby Brissett (NE - QB) IR,Sun 4:25PM,@PIT,NE (-7.5),48.5,NE 28,"Partly Cloudy, 64 F, 11 mph",48,36,-12,0,"$6,000",$0
Austin Davis (DEN - QB),Mon 8:30PM,HOU,DEN (-7.5),40.5,DEN 24,"Clear, 68 F, 3 mph",45,45,0,0,"$5,500",$0
Christian Ponder (SF - QB),Sun 4:05PM,TB,SF (-1),45,SF 23,"Clear, 70 F, 5 mph",46,49,+3,0,"$5,200",$0
Colt McCoy (WAS - QB),Sun 1:00PM,@DET,WAS (-1),50,WAS 26,Indoor,47,44,-3,0,"$5,500",$0
Jimmy Garoppolo (NE - QB),Sun 4:25PM,@PIT,NE (-7.5),48.5,NE 28,"Partly Cloudy, 64 F, 11 mph",54,38,-16,0,"$6,000",$0
