player,salary,team,pos,opp,ceil,floor,fpts
"Devontae Booker",5100,DEN,RB,ATL,,,2.76
"C.J. Anderson",8000,DEN,RB,ATL,,,16.15
"Tevin Coleman",5900,ATL,RB,DEN,,,8.48
"Jeremy Hill",7300,CIN,RB,DAL,,,10.89
"Giovani Bernard",5500,CIN,RB,DAL,,,8.99
"Alfred Morris",5100,DAL,RB,CIN,,,3.66
"Ezekiel Elliott",7900,DAL,RB,CIN,,,16.67
"Devonta Freeman",7400,ATL,RB,DEN,,,10.76
"Kenjon Barner",5300,PHI,RB,DET,,,2.78
"Ryan Mathews",6300,PHI,RB,DET,,,10.76
"Ka'Deem Carey",4600,CHI,RB,IND,,,2.67
"Darren Sproles",5400,PHI,RB,DET,,,8.27
"Theo Riddick",6200,DET,RB,PHI,,,10.03
"Wendell Smallwood",5900,PHI,RB,DET,,,3.79
"Zach Zenner",5400,DET,RB,PHI,,,4.78
"Melvin Gordon",7700,SDC,RB,OAK,,,15.16
"Dexter McCluster",4500,SDC,RB,OAK,,,3.4
"Bobby Rainey",4900,NYG,RB,GBP,,,8.08
"James Starks",4700,GBP,RB,NYG,,,4.97
"Jacquizz Rodgers",5700,TBB,RB,CAR,,,8.53
"Cameron Artis-Payne",5800,CAR,RB,TBB,,,7.44
"Peyton Barber",4500,TBB,RB,CAR,,,3.87
"Fozzy Whittaker",6100,CAR,RB,TBB,,,7.86
"Eddie Lacy",7100,GBP,RB,NYG,,,10.88
"Orleans Darkwa",6000,NYG,RB,GBP,,,6.25
"Jalen Richard",4900,OAK,RB,SDC,,,7.19
"DeAndre Washington",4700,OAK,RB,SDC,,,10.07
"LeSean McCoy",7800,BUF,RB,LAR,,,15.14
"Mike Gillislee",4800,BUF,RB,LAR,,,3.68
"Benny Cunningham",4600,LAR,RB,BUF,,,3.45
"Todd Gurley",7600,LAR,RB,BUF,,,12.83
"Josh Ferguson",4500,IND,RB,CHI,,,5.64
"Robert Turbin",4900,IND,RB,CHI,,,3.02
"James White",5500,NEP,RB,CLE,,,6.24
"LeGarrette Blount",7500,NEP,RB,CLE,,,14.08
"Isaiah Crowell",6800,CLE,RB,NEP,,,12.53
"Duke Johnson",5300,CLE,RB,NEP,,,8.95
"Derrick Henry",5200,TEN,RB,MIA,,,4.18
"DeMarco Murray",8400,TEN,RB,MIA,,,18.07
"Le'Veon Bell",8600,PIT,RB,NYJ,,,19.01
"DeAngelo Williams",5700,PIT,RB,NYJ,,,5.41
"Andre Ellington",4500,ARI,RB,SFO,,,4.18
"David Johnson",9000,ARI,RB,SFO,,,19.72
"Carlos Hyde",7200,SFO,RB,ARI,,,13.18
"Shaun Draughn",4700,SFO,RB,ARI,,,4.16
"Bilal Powell",5100,NYJ,RB,PIT,,,7.41
"Matt Forte",7100,NYJ,RB,PIT,,,13.51
"Kenyan Drake",5100,MIA,RB,TEN,,,4.68
"Jay Ajayi",5600,MIA,RB,TEN,,,7.4
"Terrance West",6400,BAL,RB,WAS,,,11.54
"Javorius Allen",5600,BAL,RB,WAS,,,3.76
"Kenneth Dixon",5800,BAL,RB,WAS,,,6.57
"Jordan Howard",7200,CHI,RB,IND,,,13.3
"Frank Gore",6500,IND,RB,CHI,,,13.43
"Joique Bell",5600,CHI,RB,IND,,,3.43
"Chris Thompson",5400,WAS,RB,BAL,,,6.88
"Matt Jones",6900,WAS,RB,BAL,,,10.81
"Isaiah Pead",4500,MIA,RB,TEN,,,5.64
"Damien Williams",4900,MIA,RB,TEN,,,1.42
"Lamar Miller",7800,HOU,RB,MIN,,,13.42
"Alfred Blue",4600,HOU,RB,MIN,,,1.88
"Jerick McKinnon",6200,MIN,RB,HOU,,,11.83
"Matt Asiata",5800,MIN,RB,HOU,,,5.59
