player,salary,team,pos,opp,ceil,floor,fpts
"C.J. Uzomah",5100,CIN,TE,DAL,,,6.86
"Jason Witten",5800,DAL,TE,CIN,,,8.08
"Tyler Kroft",4500,CIN,TE,DAL,,,2.17
"Hunter Henry",5400,SDC,TE,OAK,,,7.79
"Virgil Green",4800,DEN,TE,ATL,,,5.95
"Jeff Heuerman",4500,DEN,TE,ATL,,,2.77
"Zach Ertz",5600,PHI,TE,DET,,,10.84
"Cole Wick",4500,DET,TE,PHI,,,3.02
"Jacob Tamme",5400,ATL,TE,DEN,,,7.22
"John Phillips",4700,DEN,TE,ATL,,,3.77
"Clive Walford",4800,OAK,TE,SDC,,,6.1
"Antonio Gates",5700,SDC,TE,OAK,,,7.62
"Cameron Brate",5400,TBB,TE,CAR,,,9.22
"Brandon Myers",4500,TBB,TE,CAR,,,1.72
"Greg Olsen",8000,CAR,TE,TBB,,,14.68
"Ed Dickson",4500,CAR,TE,TBB,,,2.61
"Richard Rodgers",5000,GBP,TE,NYG,,,7.76
"Will Tye",4800,NYG,TE,GBP,,,8.01
"Charles Clay",5200,BUF,TE,LAR,,,6.99
"Lance Kendricks",4500,LAR,TE,BUF,,,4.25
"Tyler Higbee",4500,LAR,TE,BUF,,,1.15
"Trey Burton",4500,PHI,TE,DET,,,4.34
"Brent Celek",5100,PHI,TE,DET,,,3.26
"Martellus Bennett",6300,NEP,TE,CLE,,,6.97
"Gary Barnidge",5700,CLE,TE,NEP,,,8.58
"Delanie Walker",6400,TEN,TE,MIA,,,11.32
"Anthony Fasano",4500,TEN,TE,MIA,,,1.8
"Rob Gronkowski",7200,NEP,TE,CLE,,,12.52
"Jesse James",4500,PIT,TE,NYJ,,,7.23
"Jermaine Gresham",4500,ARI,TE,SFO,,,4.11
"Garrett Celek",4500,SFO,TE,ARI,,,6.19
"Kellen Davis",4500,NYJ,TE,PIT,,,1.15
"Austin Seferian-Jenkins",4600,NYJ,TE,PIT,,,3.92
"Dion Sims",4500,MIA,TE,TEN,,,4.65
"Ryan Griffin",4500,HOU,TE,MIN,,,6.26
"Crockett Gillmore",4600,BAL,TE,WAS,,,2.2
"Zach Miller",5400,CHI,TE,IND,,,9.33
"Dwayne Allen",5600,IND,TE,CHI,,,5.61
"Jack Doyle",4700,IND,TE,CHI,,,6.3
"Dennis Pitta",5500,BAL,TE,WAS,,,9.9
"Vernon Davis",4600,WAS,TE,BAL,,,2.12
"Kyle Rudolph",5500,MIN,TE,HOU,,,10.68
"C.J. Fiedorowicz",4500,HOU,TE,MIN,,,4.02
"Jordan Reed",7800,WAS,TE,BAL,,,13.48
