player,salary,team,pos,opp,ceil,floor,fpts
"Dan Bailey",4700,DAL,K,CIN,,,8.87
"Josh Lambo",4600,SDC,K,OAK,,,7.8
"Mike Nugent",4600,CIN,K,DAL,,,8.24
"Brandon McManus",4700,DEN,K,ATL,,,8.54
"Matt Prater",4600,DET,K,PHI,,,7.51
"Matt Bryant",4800,ATL,K,DEN,,,7.36
"Sebastian Janikowski",4800,OAK,K,SDC,,,7.29
"Dan Carpenter",4600,BUF,K,LAR,,,7.15
"Roberto Aguayo",4500,TBB,K,CAR,,,6.14
"Graham Gano",4900,CAR,K,TBB,,,10.41
"Mason Crosby",4500,GBP,K,NYG,,,8.05
"Josh Brown",4800,NYG,K,GBP,,,7.82
"Greg Zuerlein",4600,LAR,K,BUF,,,7.59
"Caleb Sturgis",4700,PHI,K,DET,,,8.33
"Adam Vinatieri",4700,IND,K,CHI,,,9.91
"Stephen Gostkowski",5100,NEP,K,CLE,,,11.24
"Cody Parkey",4500,CLE,K,NEP,,,7.04
"Chris Boswell",4700,PIT,K,NYJ,,,7.77
"Nick Folk",4500,NYJ,K,PIT,,,7.32
"Chandler Catanzaro",4700,ARI,K,SFO,,,8.18
"Phil Dawson",4600,SFO,K,ARI,,,6.5
"Ryan Succop",4500,TEN,K,MIA,,,5.2
"Andrew Franks",4500,MIA,K,TEN,,,5.25
"Justin Tucker",5000,BAL,K,WAS,,,7.75
"Connor Barth",4500,CHI,K,IND,,,6.82
"Dustin Hopkins",4800,WAS,K,BAL,,,6.96
"Blair Walsh",4600,MIN,K,HOU,,,9.15
"Nick Novak",4600,HOU,K,MIN,,,7.53
