player,salary,team,pos,opp,ceil,floor,fpts
"A.J. Green",8700,CIN,WR,DAL,,,17.39
"Brandon LaFell",5400,CIN,WR,DAL,,,7.21
"Jordan Norwood",4500,DEN,WR,ATL,,,2.49
"Bennie Fowler",4600,DEN,WR,ATL,,,1.32
"Emmanuel Sanders",7100,DEN,WR,ATL,,,14.45
"Tyler Boyd",5300,CIN,WR,DAL,,,4.67
"James Wright",4500,CIN,WR,DAL,,,1.3
"Travis Benjamin",6500,SDC,WR,OAK,,,10.68
"Brice Butler",5100,DAL,WR,CIN,,,5.63
"Cole Beasley",5500,DAL,WR,CIN,,,9.6
"Terrance Williams",5500,DAL,WR,CIN,,,7.04
"Demaryius Thomas",7700,DEN,WR,ATL,,,12.66
"Taylor Gabriel",4900,ATL,WR,DEN,,,4.38
"Golden Tate",6400,DET,WR,PHI,,,7.47
"Marvin Jones",7800,DET,WR,PHI,,,15.59
"Josh Huff",4500,PHI,WR,DET,,,4.12
"Dorial Green-Beckham",4900,PHI,WR,DET,,,6.44
"Nelson Agholor",5400,PHI,WR,DET,,,7.22
"Anquan Boldin",6300,DET,WR,PHI,,,9.59
"Andre Roberts",4500,DET,WR,PHI,,,2.11
"Aldrick Robinson",4500,ATL,WR,DEN,,,3
"Justin Hardy",4800,ATL,WR,DEN,,,4.16
"Mohamed Sanu",5600,ATL,WR,DEN,,,7.36
"Julio Jones",8900,ATL,WR,DEN,,,15.21
"Dontrelle Inman",6100,SDC,WR,OAK,,,8.39
"Tyrell Williams",6500,SDC,WR,OAK,,,10.06
"Ty Montgomery",4500,GBP,WR,NYG,,,1.74
"Mike Evans",7900,TBB,WR,CAR,,,16.65
"Davante Adams",5500,GBP,WR,NYG,,,8.25
"Randall Cobb",7100,GBP,WR,NYG,,,10.56
"Jordy Nelson",8400,GBP,WR,NYG,,,18.67
"Vincent Jackson",5000,TBB,WR,CAR,,,6.12
"Adam Humphries",5100,TBB,WR,CAR,,,5.09
"Philly Brown",4700,CAR,WR,TBB,,,6.15
"Devin Funchess",5200,CAR,WR,TBB,,,4.09
"Ted Ginn",5700,CAR,WR,TBB,,,5.93
"Kelvin Benjamin",7500,CAR,WR,TBB,,,14.61
"Dwayne Harris",4500,NYG,WR,GBP,,,2.68
"Victor Cruz",5600,NYG,WR,GBP,,,7.97
"Andre Holmes",4500,OAK,WR,SDC,,,2.64
"Robert Woods",5300,BUF,WR,LAR,,,9.72
"Seth Roberts",5600,OAK,WR,SDC,,,6.23
"Michael Crabtree",6900,OAK,WR,SDC,,,13.14
"Amari Cooper",7200,OAK,WR,SDC,,,13.87
"Marquise Goodwin",5500,BUF,WR,LAR,,,6.36
"Kenny Britt",5700,LAR,WR,BUF,,,8.46
"Sterling Shepard",6900,NYG,WR,GBP,,,11.69
"Odell Beckham",8500,NYG,WR,GBP,,,16.19
"Brian Quick",4500,LAR,WR,BUF,,,6.57
"Tavon Austin",5800,LAR,WR,BUF,,,8.22
"Jordan Matthews",7000,PHI,WR,DET,,,12.64
"Cameron Meredith",4500,CHI,WR,IND,,,8.51
"Danny Amendola",5300,NEP,WR,CLE,,,6.54
"Chris Hogan",5000,NEP,WR,CLE,,,7.74
"Julian Edelman",7000,NEP,WR,CLE,,,14.92
"Darrius Heyward-Bey",4500,PIT,WR,NYJ,,,4.11
"Sammie Coates",5300,PIT,WR,NYJ,,,7.43
"Malcolm Mitchell",4500,NEP,WR,CLE,,,3.32
"Terrelle Pryor",7200,CLE,WR,NEP,,,13.38
"Tajae Sharpe",5400,TEN,WR,MIA,,,8.48
"Rishard Matthews",5100,TEN,WR,MIA,,,6.47
"Ricardo Louis",4500,CLE,WR,NEP,,,5.29
"Andrew Hawkins",4600,CLE,WR,NEP,,,4.62
"Markus Wheaton",5500,PIT,WR,NYJ,,,5.52
"Antonio Brown",9600,PIT,WR,NYJ,,,19.71
"Jaron Brown",4800,ARI,WR,SFO,,,3.54
"Torrey Smith",5400,SFO,WR,ARI,,,6.62
"John Brown",6500,ARI,WR,SFO,,,9.61
"Michael Floyd",6600,ARI,WR,SFO,,,9.41
"Larry Fitzgerald",7200,ARI,WR,SFO,,,13.64
"Quinton Patton",4900,SFO,WR,ARI,,,4.77
"Jeremy Kerley",5400,SFO,WR,ARI,,,8.89
"Robby Anderson",4500,NYJ,WR,PIT,,,3.73
"Quincy Enunwa",6200,NYJ,WR,PIT,,,11.26
"Brandon Marshall",7600,NYJ,WR,PIT,,,14.85
"Rod Streater",4500,SFO,WR,ARI,,,1.41
"Kendall Wright",4700,TEN,WR,MIA,,,6.92
"Andre Johnson",5200,TEN,WR,MIA,,,7.3
"Kamar Aiken",5500,BAL,WR,WAS,,,2.4
"Breshad Perriman",4900,BAL,WR,WAS,,,4.4
"Steve Smith",6300,BAL,WR,WAS,,,11.2
"Mike Wallace",6300,BAL,WR,WAS,,,8.29
"Jamison Crowder",5800,WAS,WR,BAL,,,8.45
"Alshon Jeffery",8000,CHI,WR,IND,,,12.44
"Eddie Royal",5700,CHI,WR,IND,,,8.99
"Phillip Dorsett",6800,IND,WR,CHI,,,7.45
"Chester Rogers",4500,IND,WR,CHI,,,4.22
"T.Y. Hilton",7700,IND,WR,CHI,,,16.96
"Deonte Thompson",4500,CHI,WR,IND,,,1.75
"Pierre Garcon",6000,WAS,WR,BAL,,,8.05
"DeSean Jackson",6700,WAS,WR,BAL,,,9.89
"DeAndre Hopkins",8200,HOU,WR,MIN,,,12.13
"Will Fuller",7200,HOU,WR,MIN,,,12.32
"Kenny Stills",5700,MIA,WR,TEN,,,7.5
"DeVante Parker",6400,MIA,WR,TEN,,,10.28
